admits	sheets	sheet	target	cycle	detail	path
no	1	Munka1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/external-link-path-missing.xlsx
no	1	Invoice_sample	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/extendedProperties'	test-data/ooxml/xlsx/external-link-path-startup.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/fontSize.xlsx
no	4	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/formats.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/thumbnail'	test-data/ooxml/xlsx/headerFooterTest.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/hyperlink.xlsx
no	1	Munka1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/hyperlink_export.xlsx
no	1	Munka1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/hyperlink_formula.xlsx
no	2	Error	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/hyperlinks.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/named-ranges-global.xlsx
