first	g1	g2	g3	g4	g5	sheet	path
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/hyperlink_formula.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	-	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/hyperlinks.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	-	-	-	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/named-ranges-global.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/named-ranges-hidden.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/noSharedStringTable.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/sample.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/shared_formulas.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/sharedhyperlink.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/sheet-names.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/sheet-state-show.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/sheet-tab-color.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/sheetProtection_not_protected.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/sortconditionref.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/sortconditionref2.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	-	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/style-alternate-content.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/styles.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/table-sample.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/tableStyle.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/test_conditional_formatting.xlsx
g1	http://schemas.openxmlformats.org/officedocument/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/universal-content.xlsx

# files=95
# first refusal g1        95
# first refusal g2        0
# first refusal g3        0
# first refusal g4        0
# first refusal g5        0
# first refusal admitted  0
# would refuse (independently):
#   g1 95
#   g2 77
#   g3 45
#   g4 64
#   g5 0
