verdict	kind	detail	path
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/enhanced-protection.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/external-link-path-missing.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/external-link-path-missing.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/external-link-path-startup.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/external-link-path-startup.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/fontSize.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/fontSize.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/formats.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/formats.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/headerFooterTest.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/headerFooterTest.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlink.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlink.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlink_export.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlink_export.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlink_formula.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlink_formula.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlinks.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/hyperlinks.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/named-ranges-global.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/named-ranges-global.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/named-ranges-hidden.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/named-ranges-hidden.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/noSharedStringTable.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/noSharedStringTable.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sample.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sample.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/shared_formulas.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/shared_formulas.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sharedhyperlink.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sharedhyperlink.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheet-names.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheet-names.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheet-state-show.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheet-state-show.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheet-tab-color.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheet-tab-color.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheetProtection_not_protected.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sheetProtection_not_protected.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sortconditionref.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sortconditionref.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sortconditionref2.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/sortconditionref2.xlsx
noncompact	sheet1	noncompact XML WhitespaceBeforeClose at byte 53	test-data/ooxml/xlsx/style-alternate-content.xlsx
noncompact	workbook	noncompact XML WhitespaceBeforeClose at byte 53	test-data/ooxml/xlsx/style-alternate-content.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/styles.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/styles.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/table-sample.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/table-sample.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/tableStyle.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/tableStyle.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/test_conditional_formatting.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/test_conditional_formatting.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/universal-content.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/universal-content.xlsx

# packages=95
# sheet1    compact     1
# sheet1    noncompact  94
# workbook  compact     1
# workbook  noncompact  94
# packages with at least one noncompact audited part: 94
