# fixture operation result
ooxml/pptx/connectorConnection.pptx opc-noop 7b23e2b57151e6ccfae69183636a63c3ba06061b33c0f83cf5b02cc9ef014e04:33296
ooxml/pptx/curvedConnectors.pptx opc-noop 4e1b04e07b7b8b087f6567cb9af70019c7b326fe592c030c44d3b1e60fff8f69:35029
ooxml/pptx/elbowConnectors.pptx opc-noop d0deaafba2c213e904e589cb1ed35ce110e4160f3e4eee346db43461d902b123:34608
ooxml/pptx/line-chart.pptx opc-noop a2319540fb096629874e8c2baf91b9f8afd1386bfba411efff503b96dce9e9a1:44700
ooxml/pptx/pie-chart.pptx opc-noop 3b6404b59b24cb79fbb91fc2e92bd8b80cdc340aeed71a1ec1e267db0d8ad444:55297
ooxml/pptx/radar-chart.pptx opc-noop faf631199e44a1eb5dae48527d233b3231e67ea0345e93fd0c9306ce5261b570:43689
ooxml/pptx/sample.pptx opc-noop 108d7219130a8460298896f45ff777dfe52b8b5527a4b4628b10731ed01d6a8e:47215
ooxml/pptx/scatter-chart.pptx opc-noop 946d17760f23822950d97a02aeeedbac773fe8ba5afd61bb26a9ee5fd8db53be:44269
ooxml/pptx/shape-blur-effect.pptx opc-noop 8fb6fb909b7460b8337cbf13196321c94d6df70b97f02ed7b5dd7bdaff71953a:33285
ooxml/pptx/shape-glow-effect.pptx opc-noop 4f42a41afc627dc2fc6fba99457a8daa956c86037783e59a74899dc8081c806f:13691
ooxml/pptx/shape-soft-edges.pptx opc-noop c3bc3f9adb6f22d85d6dac389e5225b07b74c43db6daf222b31e37cb459f8297:50092
ooxml/pptx/shape-text-glow-effect.pptx opc-noop 582b7b186b4fcfac0280fea4b49e61b77e0172f12e1963f69694e8313b7a9354:34693
ooxml/pptx/shape-text-rotate.pptx opc-noop 3f0d3bc2739f1c0ee5af95ac503dcfe38b6069ef064b327427aa28e420756c5c:33784
ooxml/pptx/shapes.pptx opc-noop 19fde9b87e33dd1a95fdbba0cf6abc2278bf03874f4665c7f8b88b6afe4a2571:68822
ooxml/pptx/smartart-accent-process.pptx opc-noop 17e6753da5141ca7cfc8f6771429b66b40b5b33269c3a61a2e4c7c6f29dae786:46326
ooxml/pptx/smartart-autoTxRot.pptx opc-noop 7c5e882567fbe88bdbd7afd7b021008c427216e55f4c5058b480074032d4635e:58937
ooxml/pptx/smartart-autofit-sync.pptx opc-noop 589ffe1c7dfbd8eb8473021b780a80c6114133fcfb3b1464c5e3ac44f70c59e4:41814
ooxml/pptx/smartart-background-drawingml-fallback.pptx opc-noop ee60357bcf324a099d796347ecb3ab64ce1f4849be3c0d8e1027e75c3eff6a36:40964
ooxml/pptx/smartart-background.pptx opc-noop 55b034bcc0f484a49fd0ae2d98c277d2c31f249cfe4758b500ec29de824a4f6c:50424
ooxml/pptx/smartart-bullet-list.pptx opc-noop 482c2b4b1a146220e76b14bd31b1c9e6168c91194f7f3088df444ac2060a3e3e:40468
ooxml/pptx/smartart-center-cycle.pptx opc-noop 8d755ff2fc88e0ff6cff0c25f995bade7a58dbec472687ad52877d7989de43ea:44405
ooxml/pptx/smartart-chevron.pptx opc-noop a6a9011c6d7b542a91dfcc1e6ba4c2e7d468f027b8ceab9663882b0f77efdf08:34076
ooxml/pptx/smartart-children.pptx opc-noop ab9b0d6ae65f411716e4f0e6784782d75f3110a1cbc8c691a35a3095ee178a08:53014
ooxml/pptx/smartart-cnt.pptx opc-noop 42363e3ed1f8c0f06ec566de4de0177b998f4433b260d17a1bca29b3a565ceb3:47360
ooxml/pptx/smartart-composite-infer-right.pptx opc-noop c1069e41469ba37bdef0cf5752151f52ce614287c0fc62a466fe8fcf04c01179:23250
ooxml/pptx/smartart-continuous-block-process.pptx opc-noop 62c931df23533946fb51d8257bfb34c7a1f123206af36d6b1cdcc1fa1df511b3:46204
ooxml/pptx/smartart-cycle-matrix.pptx opc-noop 48f18cdc8bac44bd07bd36eddacac33397f41f1b4ab9ced27663c028fff227f1:56986
ooxml/pptx/smartart-cycle.pptx opc-noop 11b660611f00e297661a663a0904d7247fbbe173caa67ee36dbad68b1dfd9e0c:35322
ooxml/pptx/smartart-data-follow.pptx opc-noop 860b23834bdc0f8073092d04fbc049449f234e555d5772d4f9025e4b449bc0b6:56896
ooxml/pptx/smartart-dir.pptx opc-noop f4022c7b06b9bcfabd4a763719172a97647b4e585135a6ece29003ba96414d54:41593
ooxml/pptx/smartart-font-size.pptx opc-noop 7aba5a399337fc0b6f45b5a340cb32f5ade07142487f2663dd01fe320e1886f3:63915
ooxml/pptx/smartart-interopgrabbag.pptx opc-noop ef7450d6f0588fb5b81e9c570b01bb4cde930f3beb7aaa70e267643997cdb14b:39440
ooxml/pptx/smartart-linear-rule-vert.pptx opc-noop 6c742f4d18c4de4af78c4854f49394ea1c0761d2e834590b64c90c6d5b15330d:73085
ooxml/pptx/smartart-linear-rule.pptx opc-noop 91c0c8598059d06331b5a5db3a0b3503b8f37e9ce0e164c978a48d5cdafed570:43743
ooxml/pptx/smartart-maxdepth.pptx opc-noop 6dd884dd5865f5f51260d5fd3b07257d1cec1b229f39f962d84d8f1b167483ae:43256
ooxml/pptx/smartart-missing-bullet.pptx opc-noop 3057c76a2ed4e0995a209873ced2a56b8bb56437ecce62c31caf18eafb688ddb:30139
ooxml/pptx/smartart-multidirectional.pptx opc-noop d1e608a650dd52a219c530df66dceb824da625dcbb94062df2bf8348369b2876:43588
ooxml/pptx/smartart-org-chart.pptx opc-noop 7a457c32c73efed6244cf79e184994a2f2a0cb65901f6ce4f3dfcd22dbcf4ac1:57764
ooxml/pptx/smartart-org-chart2.pptx opc-noop e09fe90dd306496aa5b856daf036748ce3267994118faccec6b2153d942ba9ec:64524
ooxml/pptx/smartart-picture-strip.pptx opc-noop 6424c0c3dd8a19884365cf9d7c8bf2e24963fc9233afb4846345ea52cb9978d0:52395
ooxml/pptx/smartart-preserve.pptx opc-noop e11d9ab15a806c4e2e659014535831f645c787f071ddeccf930e751497579139:40598
ooxml/pptx/smartart-pyramid-1child.pptx opc-noop 38aef336872cb79e3e4bfa313f511db85c6f60d19118ec63dc3aa8d25c1ae3cc:40075
ooxml/pptx/smartart-recursion.pptx opc-noop e1e55d4e3d31079ec552aa55d881773997e41c7a177724a3990f5d3b4eaa8d5d:52943
ooxml/pptx/smartart-rightoleftblockdiagram.pptx opc-noop e5ccf6cc6c4aeb9faa4aa9facfa9cb9635246131545b212d7980c7845e9f8bc5:43399
ooxml/pptx/smartart-rotation.pptx opc-noop f170b07db0203a12d3ff869d1e7e31c638816c3738606862ff012686894163d9:43886
ooxml/pptx/smartart-rotation2.pptx opc-noop 489a00825c38a00c17a457411e033ea4fde500c28f6f28477f52e6353417ef0e:43658
ooxml/pptx/smartart-simple.pptx opc-noop 238ff6433dac00b2722edb9a29d97f56ab4f3c9c37f33a73d6f53baf494916aa:71102
ooxml/pptx/smartart-snake-rows.pptx opc-noop 1c9e0d9e75ad4b25b8cf4073c07473bb92a97fcf59f451d4f9d7d9f45202ebf2:52893
ooxml/pptx/smartart-tdf134221.pptx opc-noop 761ff09c0d29efa8ed013a34c1deb4b0acfe3006a7c84f06f7d42eea53567725:46706
ooxml/pptx/smartart-text.pptx opc-noop 2e38dd189152e2bcf2f368a71495a02747b818087063ed46d9720fd708f2b0ec:38762
ooxml/pptx/smartart-vertical-block-list.pptx opc-noop c2922783b786935b7b21c1a03e0547d02ab8412e4684ab874c7e64e750e5794c:47533
ooxml/pptx/smartart-vertical-box-list.pptx opc-noop 3004536746aed2f7e0715eb4af05fe52db10cb445354c8d717dcdf4eb7c96d43:43018
ooxml/pptx/trigger.pptx opc-noop a839ae0d8db1cbf9d4bdff4abf6db2ca2adb05701f04543afaae9bec738fb6f4:32278
ooxml/xlsb/51519.xlsb opc-noop 53ebff181db309ae9b602780591836515678db7590aeb59942f9c3348fe61192:10897
ooxml/xlsb/62815.xlsb opc-noop 2c1da74896f383b8cb33cb128bfeef20783572b81ca48410229bb098ac5c3565:10665
ooxml/xlsb/Simple.xlsb opc-noop 41b0c82bfa682f968d69e05e23137232d6c89ea4f24439786f0b779be319929b:9161
ooxml/xlsb/bug66682.xlsb opc-noop 490f0430a6bd44bdf697c7a41a898bce632ce2b775797c3b8c1517764c0900b3:9580
ooxml/xlsb/comments.xlsb opc-noop d22daaebbc2a18d29cc3d6f1bb257cad1d880a32311a7def0b288f795b6340d6:10796
ooxml/xlsb/cond_format.xlsb opc-noop 801eeac381ebf3e3df0adeaf15020b63ebe9ea8d8326203d0bdf9043147dfc86:8253
ooxml/xlsb/date.xlsb opc-noop fbb969989aabed2e057b2ddfc4cfd10ef1f6ebe9b7697c3755283515158d5b09:7566
ooxml/xlsb/hyperlink.xlsb opc-noop 6675f4bde45d1291e1d56783b7abe2857f56837ca674c7877dfc125fb49a4724:7882
ooxml/xlsb/pivot-cache-ac-prefixed.xlsb opc-noop 343dba333fd1aa9fa8c4a28d4b948ec90a14b3adab29d34079f42adfe340d761:11002
ooxml/xlsb/sample.xlsb opc-noop 8cf995ace93f9d0e3bf34b6bdb1355ff46db2d418f6f3fb7943fdc4ca1db4d1b:10843
ooxml/xlsb/universal-content.xlsb opc-noop 3d425c433c4f0688d4d2f2c84bbcfc25494641d0d38cbe96d6a954d820536170:11087
ooxml/xlsx/ConditionalFormattingSamples.xlsx opc-noop 8dfa997a642c00a1da8c0750c371f204553a98c537ca046028b052f9b424a074:654688
ooxml/xlsx/CustomXMLMappings-complex-type.xlsx opc-noop 04455b63ab8f8fd3d879b63a7d2bacc5518821ede0c933a2799354a9adaf4b68:14979
ooxml/xlsx/CustomXMLMappings.xlsx opc-noop 6a5fbb160c7c9c2add5125ac07ceaf3f841d40e03d5c75025ab71946d49af289:9906
ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx opc-noop acbba8c672a3977e24813f017c276986d06909760835a5a3a12899e2a8816c87:9915
ooxml/xlsx/DataValidationEvaluations.xlsx opc-noop ea5706d9afc031a8c2afef880559483bad30ab2c18e2857aca5f3cfaa74decf4:13679
ooxml/xlsx/DataValidationListTooLong.xlsx opc-noop 25785bbdbfe495db4bddbdb578b0239faa1715d40ede2b6003776e0a75a9a15a:3286
ooxml/xlsx/DateFormatNumberTests.xlsx opc-noop d18aade6ad10435baa4be3ac1c4ba4c15e48248bc24b91926920f3dec0aca033:10981
