path	file_bytes	eocd_off	cd_off	cd_size	entries	comment_len	zip64	fast_path	prefixed	tail_pad
test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx	7871	7849	7135	714	11	0	0	1	0	0
test-data/ooxml/xlsx/named-ranges-hidden.xlsx	8959	8937	8297	640	10	0	0	1	0	0
test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx	12716	12694	11477	1217	17	0	0	1	0	0
test-data/ooxml/xlsx/enhanced-protection.xlsx	8483	8461	7821	640	10	0	0	1	0	0
test-data/ooxml/xlsx/tableStyle.xlsx	10899	10877	9943	934	14	0	0	1	0	0
test-data/ooxml/xlsx/external-link-path-missing.xlsx	15018	14996	13677	1319	19	0	0	1	0	0
test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx	11359	11337	10116	1221	18	0	0	1	0	0
test-data/ooxml/xlsx/external-link-path-startup.xlsx	11076	11054	10181	873	13	0	0	1	0	0
test-data/ooxml/xlsx/StructuredReferences.xlsx	10459	10437	9518	919	14	0	0	1	0	0
test-data/ooxml/xlsx/condformat_databar.xlsx	8052	8030	7456	574	9	0	0	1	0	0
test-data/ooxml/xlsx/universal-content.xlsx	7296	7274	6413	861	13	0	0	1	0	0
test-data/ooxml/xlsx/decimal-format.xlsx	9677	9655	8550	1105	18	0	0	1	0	0
test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	14979	14957	13576	1381	20	0	0	1	0	0
test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx	19460	19438	17433	2005	27	0	0	1	0	0
test-data/ooxml/xlsx/named-ranges-global.xlsx	5664	5642	5063	579	9	0	0	1	0	0
test-data/ooxml/xlsx/noSharedStringTable.xlsx	7820	7798	7224	574	9	0	0	1	0	0
test-data/ooxml/xlsx/SimpleNormal.xlsx	8871	8849	8077	772	12	0	0	1	0	0
test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx	10682	10660	9784	876	13	0	0	1	0	0
test-data/ooxml/pptx/SmartArt.pptx	41382	41360	38114	3246	42	0	0	1	0	0
test-data/ooxml/pptx/radar-chart.pptx	43689	43667	40537	3130	40	0	0	1	0	0
test-data/ooxml/xlsx/autofilternamedrange.xlsx	9685	9663	8958	705	11	0	0	1	0	0
test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx	12656	12634	11417	1217	17	0	0	1	0	0
test-data/ooxml/xlsx/SimpleMultiCell.xlsx	8123	8101	7387	714	11	0	0	1	0	0
test-data/ooxml/xlsx/FormatChoiceTests.xlsx	46589	46567	45726	841	13	0	0	1	0	0
test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx	13378	13356	12488	868	13	0	0	1	0	0
test-data/ooxml/xlsx/TwoSheetsNoneHidden.xlsx	7938	7916	7206	710	11	0	0	1	0	0
test-data/ooxml/xlsx/hyperlink.xlsx	9833	9811	8911	900	13	0	0	1	0	0
test-data/ooxml/xlsx/DateFormatTests.xlsx	12394	12372	11600	772	12	0	0	1	0	0
test-data/ooxml/pptx/smartart-continuous-block-process.pptx	46204	46182	42912	3270	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-multidirectional.pptx	43588	43566	40391	3175	41	0	0	1	0	0
test-data/ooxml/pptx/shapes.pptx	68822	68800	65116	3684	48	0	0	1	0	0
test-data/ooxml/pptx/smartart-cycle.pptx	35322	35300	32194	3106	40	0	0	1	0	0
test-data/ooxml/pptx/smartart-linear-rule-vert.pptx	73085	73063	69486	3577	45	0	0	1	0	0
test-data/ooxml/pptx/scatter-chart.pptx	44269	44247	41117	3130	40	0	0	1	0	0
test-data/ooxml/pptx/smartart-interopgrabbag.pptx	39440	39418	36148	3270	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-linear-rule.pptx	43743	43721	40427	3294	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-accent-process.pptx	46326	46304	43010	3294	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-recursion.pptx	52943	52921	49746	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-rightoleftblockdiagram.pptx	43399	43377	40202	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-children.pptx	53014	52992	49817	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-snake-rows.pptx	52893	52871	49006	3865	49	0	0	1	0	0
test-data/ooxml/pptx/smartart-missing-bullet.pptx	30139	30117	27943	2174	29	0	0	1	0	0
test-data/ooxml/pptx/smartart-rotation.pptx	43886	43864	40689	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-composite-infer-right.pptx	23250	23228	21628	1600	22	0	0	1	0	0
test-data/ooxml/pptx/smartart-preserve.pptx	40598	40576	37330	3246	42	0	0	1	0	0
test-data/ooxml/pptx/smartart-tdf134221.pptx	46706	46684	41430	5254	54	0	0	1	0	0
test-data/ooxml/pptx/line-chart.pptx	44700	44678	41548	3130	40	0	0	1	0	0
test-data/ooxml/pptx/smartart-rotation2.pptx	43658	43636	40324	3312	43	0	0	1	0	0
test-data/ooxml/pptx/smartart-simple.pptx	71102	71080	67606	3474	45	0	0	1	0	0
test-data/ooxml/pptx/smartart-org-chart2.pptx	64524	64502	61327	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-vertical-box-list.pptx	43018	42996	39726	3270	42	0	0	1	0	0
test-data/ooxml/pptx/shape-soft-edges.pptx	50092	50070	44953	5117	65	0	0	1	0	0
test-data/ooxml/pptx/smartart-data-follow.pptx	56896	56874	53699	3175	41	0	0	1	0	0
test-data/ooxml/pptx/curvedConnectors.pptx	35029	35007	32078	2929	37	0	0	1	0	0
test-data/ooxml/pptx/smartart-vertical-block-list.pptx	47533	47511	44336	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-cnt.pptx	47360	47338	44163	3175	41	0	0	1	0	0
test-data/ooxml/pptx/shape-text-glow-effect.pptx	34693	34671	31778	2893	37	0	0	1	0	0
test-data/ooxml/pptx/smartart-text.pptx	38762	38740	35565	3175	41	0	0	1	0	0
test-data/ooxml/pptx/smartart-bullet-list.pptx	40468	40446	37271	3175	41	0	0	1	0	0
test-data/ooxml/pptx/shape-blur-effect.pptx	33285	33263	30370	2893	37	0	0	1	0	0
test-data/ooxml/pptx/smartart-chevron.pptx	34076	34054	30948	3106	40	0	0	1	0	0
test-data/ooxml/pptx/connectorConnection.pptx	33296	33274	30345	2929	37	0	0	1	0	0
