change 0635: callgrind isolation pairs, N=1 and N=11, totals differenced and divided by 10.
Legs: before = base c7326f680; after = the retained change; afterB = the retained change
plus patch/0635-chain-facts.patch (the rejected snapshot-chain capture).
Inclusive Ir per operation. taskset -c 11, one deterministic run per leg.

case                       symbol                                         before            after    delta%           afterB    chain%
producer_medium_edit       worksheet_xml_with_facts                            -                -         -        6,622,851         -
producer_medium_edit       rewrite_value_only_with_provenance            112,387           89,818   -20.08%          113,654   +26.54%
producer_medium_edit       is_spreadsheetml_name                         367,279          367,294    +0.00%          367,104    -0.05%

producer_dense_edit        WHOLE ITERATION                           490,455,049      479,720,265    -2.19%      499,201,974    +4.06%
producer_dense_edit        from_source_selected                      218,486,540      208,133,601    -4.74%      207,974,195    -0.08%
producer_dense_edit        worksheet_xml_and_parse_source            213,022,206      202,669,213    -4.86%      202,509,965    -0.08%
producer_dense_edit        parse_source_with_observer                421,150,203      400,334,896    -4.94%      400,016,469    -0.08%
producer_dense_edit        observe                                    28,930,653       18,460,231   -36.19%       36,950,292  +100.16%
producer_dense_edit        element                                    24,156,824       13,685,560   -43.35%       27,371,121  +100.00%
producer_dense_edit        cell                                       13,699,342        8,540,928   -37.65%       17,081,856  +100.00%
producer_dense_edit        raw_attribute                               7,994,569        6,023,862   -24.65%       12,047,725  +100.00%
producer_dense_edit        push_cell                                     503,826          504,458    +0.13%        1,039,306  +106.02%
producer_dense_edit        row                                           163,092                -         -          199,543         -
producer_dense_edit        capture_auxiliary_source                      207,523          193,228    -6.89%          192,819    -0.21%
producer_dense_edit        from_rewritten_value_source               115,824,357      115,773,993    -0.04%      135,084,681   +16.68%
producer_dense_edit        validate_xml                               84,750,562       84,750,279    -0.00%                -         -
producer_dense_edit        worksheet_xml_with_facts                            -                -         -      104,112,287         -
producer_dense_edit        rewrite_value_only_with_provenance          1,317,896          990,155   -24.87%        1,334,228   +34.75%
producer_dense_edit        write_sheet_data_from_facts                         -          108,842         -                -         -
producer_dense_edit        is_spreadsheetml_name                       5,740,640        5,740,727    +0.00%        5,740,516    -0.00%

Notes:
* `observe`, `element`, `cell` and `raw_attribute` roughly double in the afterB leg because the
  rejected capture runs the same builder a second time, on the rewritten worksheet.
* `capture_auxiliary_source` is the stylesheet count plus reading the styles and theme parts;
  its per-operation attribution varies between profiles (four of five cases fall 6.9-7.0%,
  producer-medium rises 11.5%), so the exact allocation figures in alloc/ carry that part.
* `from_package_with_styles` is the harness's own untimed verification reopen, shown because it
  is a second, independent caller of raw::styles::parse.
