# Counter-example: the same sweep as scaling/zip-sweep.tsv, run in a window
# whose pinned CPU set (17,21,22,25,28,29,30,31) turned out to contain three
# fully saturated CPUs belonging to other agents on this shared host. It is
# retained because it is the measured shape of a wave that has to wait for its
# workers to be scheduled: p50 values in whole milliseconds where the
# sequential leg is tens of microseconds, and A/A floors up to 118%.
#
# Nothing is claimed from these cells. They are the evidence behind the
# Limitations paragraph "on a saturated host the wave is a large loss".
# The corrected run, on CPUs measured idle immediately beforehand, is
# scaling/zip-sweep.tsv.
#
# Captured by probe/sweep.py with drive.py's CPU set fixed at
# "17,21,22,25,28,29,30,31", before the driver was changed to choose the
# quietest CPUs from /proc/stat at run time.
members	bytes	remainder	width	n	p50_ns	mean_ns	p95_ns	p99_ns	speedup_vs_seq
40	871	33969	8	60	3994322	6363264	20994342	21999227	0.091
# aa-floor members=40 bytes=871 seq_p50_a1=357981 seq_p50_a2=379342 spread=5.97%
128	871	110617	0	120	1519908	2572724	6038612	11470261	1.000
128	871	110617	1	60	1484198	4066765	22584791	22662870	1.024
128	871	110617	2	60	8995968	9604118	20999191	29547057	0.169
128	871	110617	4	60	10987239	14812178	33999801	41005338	0.138
128	871	110617	8	60	7981393	11378639	29006034	29008155	0.190
# aa-floor members=128 bytes=871 seq_p50_a1=1541978 seq_p50_a2=1464468 spread=5.29%
2	4096	4096	0	120	33110	33473	34440	41820	1.000
2	4096	4096	1	60	33060	33625	37080	39150	1.002
2	4096	4096	2	60	4967187	5062707	9942783	12459867	0.007
2	4096	4096	4	60	41831	912021	4063832	8742557	0.819
2	4096	4096	8	60	3043826	2997074	5952462	5953952	0.011
# aa-floor members=2 bytes=4096 seq_p50_a1=34200 seq_p50_a2=34340 spread=0.41%
4	4096	12288	0	120	69490	291354	77441	6254253	1.000
4	4096	12288	1	60	69600	70682	76090	81120	0.998
4	4096	12288	2	60	79320	604313	2951815	5604830	0.876
4	4096	12288	4	60	2123801	3177657	6997407	14000694	0.033
4	4096	12288	8	60	92771	2178566	6830906	13001509	0.749
# aa-floor members=4 bytes=4096 seq_p50_a1=69490 seq_p50_a2=69551 spread=0.09%
8	4096	28672	0	120	155051	207309	177921	207341	1.000
8	4096	28672	1	60	152101	631016	3165967	9161359	1.019
8	4096	28672	2	60	4787286	4756201	7998303	15997846	0.032
8	4096	28672	4	60	216271	2113552	6894987	8999198	0.717
8	4096	28672	8	60	2991906	3247749	10997579	13829344	0.052
# aa-floor members=8 bytes=4096 seq_p50_a1=153460 seq_p50_a2=156711 spread=2.12%
16	4096	61440	0	120	386812	765093	450332	18428858	1.000
16	4096	61440	1	60	385252	386630	403442	419883	1.004
16	4096	61440	2	60	5993201	5437677	8996398	10004363	0.065
16	4096	61440	4	60	3997721	4688620	9249869	12007714	0.097
16	4096	61440	8	60	485122	2177622	9075058	11102399	0.797
# aa-floor members=16 bytes=4096 seq_p50_a1=384952 seq_p50_a2=389352 spread=1.14%
40	4096	159744	0	120	1147017	2123884	10112314	11201729	1.000
40	4096	159744	1	60	1145456	1586226	4200842	4231673	1.001
40	4096	159744	2	60	3997391	5478295	10998689	12998709	0.287
40	4096	159744	4	60	6429455	7225069	12523387	24431091	0.178
40	4096	159744	8	60	4981897	8829860	34001752	36952697	0.230
# aa-floor members=40 bytes=4096 seq_p50_a1=1160516 seq_p50_a2=1125416 spread=3.12%
2	26698	26698	0	120	229761	1238379	9260780	18326158	1.000
2	26698	26698	1	60	231981	848824	4074222	9238300	0.990
2	26698	26698	2	60	5996912	7903016	18996921	32009011	0.038
2	26698	26698	4	60	3994302	4181280	7748002	7761162	0.058
2	26698	26698	8	60	3692859	4290727	11003349	13007629	0.062
# aa-floor members=2 bytes=26698 seq_p50_a1=225861 seq_p50_a2=232291 spread=2.85%
4	26698	80094	0	120	571213	1398433	9567931	12688788	1.000
4	26698	80094	1	60	568293	567748	580403	584694	1.005
4	26698	80094	2	60	4988867	5230605	9005548	10992458	0.114
4	26698	80094	4	60	3995401	4879995	9999334	10002163	0.143
4	26698	80094	8	60	3997682	4347642	9000928	10000083	0.143
# aa-floor members=4 bytes=26698 seq_p50_a1=566893 seq_p50_a2=574103 spread=1.27%
8	26698	186886	0	120	1291347	2407557	6374504	13371221	1.000
8	26698	186886	1	60	1287277	2127597	4296433	4297053	1.003
8	26698	186886	2	60	4999497	7147294	11000779	11004759	0.258
8	26698	186886	4	60	3751040	3444881	6987737	8999668	0.344
8	26698	186886	8	60	4979876	6100120	14990630	17997576	0.259
# aa-floor members=8 bytes=26698 seq_p50_a1=1306287 seq_p50_a2=1288657 spread=1.37%
16	26698	400470	0	120	2570404	5210539	11563582	12627757	1.000
16	26698	400470	1	60	5557419	8231355	20671060	20676630	0.463
16	26698	400470	2	60	8999018	9412270	14997190	19991866	0.286
16	26698	400470	4	60	10800677	12626714	23999808	27997049	0.238
16	26698	400470	8	60	11997643	13011957	22006157	22980902	0.214
# aa-floor members=16 bytes=26698 seq_p50_a1=5528820 seq_p50_a2=2530233 spread=118.51%
2	1893450	1893450	0	120	23515285	25075670	34910026	46492037	1.000
2	1893450	1893450	1	60	23661126	23835886	24902183	25360765	0.994
2	1893450	1893450	2	60	11601961	11712433	11933243	13606312	2.027
2	1893450	1893450	4	60	11794173	11963343	13361291	14318616	1.994
2	1893450	1893450	8	60	11832903	12817313	17360773	23419685	1.987
# aa-floor members=2 bytes=1893450 seq_p50_a1=23801417 seq_p50_a2=23188554 spread=2.64%
