# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 75162389056
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ....................  ........................................................................................................................................................................................................................................................................................................................................
#
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] quick_xml::escape::normalize_attribute_value::<quick_xml::escape::is_xml10_normalization_char, quick_xml::escape::normalize_xml10_eol_step, quick_xml::escape::resolve_predefined_entity>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::shape_builder
     0.06%  litchi-perf-bas  libc.so.6             [.] _int_free_chunk
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rust_dealloc
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::packedpair::Finder>::find_impl
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] quick_xml::escape::normalize_xml10_eols
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>::drawing_attributes
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] alloc::fmt::format::format_inner
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::finish_shape
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::Reader<&[u8]>>::read_event_impl::<&mut alloc::vec::Vec<u8>>
     0.05%  litchi-perf-bas  litchi-perf-baseline  [.] xml_minifier::audit::inspect_attributes
     0.05%  git              [unknown]             [k] 0xffffffff8c800080
     0.05%  git              git                   [.] 0x0000000000241c9b
     0.00%  litchi-perf-bas  ld-linux-x86-64.so.2  [.] _dl_relocate_object_no_relro
     0.00%  litchi-perf-bas  [unknown]             [k] 0xffffffff8dee4c00
     0.00%  litchi-perf-bas  [unknown]             [k] 0xffffffff8c800b90
     0.00%  litchi-perf-bas  ld-linux-x86-64.so.2  [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
