# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 75955749267
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  ...............  ....................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.41%  litchi-perf-bas  libc.so.6             [.] _int_free_chunk
     0.41%  litchi-perf-bas  litchi-perf-baseline  [.] memchr::arch::x86_64::memchr::memchr2_raw::find_avx2
     0.41%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::classify
     0.37%  litchi-perf-bas  litchi-perf-baseline  [.] sha2::sha256::x86_sha::compress
     0.35%  litchi-perf-bas  libc.so.6             [.] _int_free_maybe_trim
     0.35%  litchi-perf-bas  libc.so.6             [.] __memset_avx512_unaligned_erms
     0.35%  litchi-perf-bas  litchi-perf-baseline  [.] quick_xml::escape::normalize_attribute_value::<quick_xml::escape::is_xml10_normalization_char, quick_xml::escape::normalize_xml10_eol_step, quick_xml::escape::resolve_predefined_entity>
     0.35%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.35%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::decode_reference
     0.35%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.29%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rdl_dealloc
     0.29%  litchi-perf-bas  libc.so.6             [.] realloc
     0.29%  litchi-perf-bas  libc.so.6             [.] cfree@GLIBC_2.2.5
     0.23%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::declaration::element_is
     0.23%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::model::slide::Slide as core::clone::Clone>::clone
     0.23%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>::drawing_attributes
     0.23%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>::resolve_at_scan
     0.23%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rdl_realloc
     0.23%  litchi-perf-bas  libc.so.6             [.] __libc_malloc2
     0.23%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::One>::find_raw_avx2
     0.18%  litchi-perf-bas  litchi-perf-baseline  [.] xml_minifier::audit::inspect_attributes
     0.18%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::xml_splice::verify_well_formed
     0.18%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::model::page_metadata::Page>::validate
     0.18%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::content_source::scanner::Scanner>::on_open
     0.17%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::content_source::ContentSource>::page
     0.17%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::flush_block_only
     0.17%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::Two>::find_raw
     0.17%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::decode_text
     0.17%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::model::declaration::Scanner>::step
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <<std::hash::random::RandomState>::new::KEYS::{K#0}::{closure#1} as core::ops::function::FnOnce<(core::option::Option<&mut core::option::Option<core::cell::Cell<(u64, u64)>>>,)>>::call_once
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::model::page_metadata::Page as core::clone::Clone>::clone
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::settings::element_is
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::declaration::parse_binding
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::slide::is_xml_local_name
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::model::slide::Slide as core::slice::cmp::SlicePartialEq<litchi_odp::model::slide::Slide>>::equal_same_length
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::Attributes as core::iter::traits::iterator::Iterator>::next
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::page_metadata::metadata_after_page_insert
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::authoring::edit::slide_primary_resource
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::raw_vec::RawVec<core::ops::range::Range<usize>>>::grow_one
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::content_source::scanner::Scanner>::on_close
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::inflate::inftrees::inflate_table
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::slide_hash::avx2::slide_hash_chain
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::compare256::avx2::compare256
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::model::ParagraphText>::finish
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::validate_three_dimensional_child_element
     0.12%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::raw_vec::RawVec<(litchi_odp::content::DrawingDependencyKind, alloc::string::String, alloc::string::String)>>::grow_one
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <hashbrown::raw::RawTable<((usize, litchi_odp::model::declaration::Target), ())> as core::ops::drop::Drop>::drop
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::vec::Vec<alloc::string::String> as core::clone::Clone>::clone
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::authoring::mutable::MutablePresentation>::retained_page
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::string::String as core::clone::Clone>::clone
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::state::ReaderState>::emit_text
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] core::ptr::drop_glue::<alloc::vec::Vec<litchi_odp::model::animation::Node>>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::authoring::edit::Transaction>::check_text
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&str>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::codec::content_source::qname_of
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_perf_baseline::odp_existing_append::semantic_digest
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <hashbrown::map::HashMap<alloc::string::String, litchi_odf_common::core::manifest::ManifestEntry, std::hash::random::RandomState>>::insert
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rust_alloc
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] memchr::arch::x86_64::memchr::memchr_raw::find_avx2
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] core::ptr::drop_glue::<core::option::Option<litchi_core::metadata::Metadata>>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::authoring::mutable::MutablePresentation>::to_bytes_bounded
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <soapberry_zip::office::IndexedArchive<alloc::sync::Arc<alloc::vec::Vec<u8>>>>::metadata
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rdl_alloc
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rust_no_alloc_shim_is_unstable_v2
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::Attribute>::decoded_and_normalized_value
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::gen_codes
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] core::ptr::drop_glue::<litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] quick_xml::escape::normalize_xml10_eols
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::NsClass>::from_uri
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] __rustc::__rust_dealloc
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::string::String as core::fmt::Write>::write_str
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <str>::trim_matches::<<char>::is_whitespace>
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::page_metadata::decode_attribute
     0.06%  litchi-perf-bas  litchi-perf-baseline  [.] <u64>::_fmt_inner
     0.04%  git              git                   [.] 0x0000000000211a01
     0.04%  git              git                   [.] 0x0000000000241c83
     0.00%  litchi-perf-bas  [unknown]             [k] 0xffffffff8c800b90
     0.00%  litchi-perf-bas  ld-linux-x86-64.so.2  [.] _dl_setup_hash
     0.00%  litchi-perf-bas  ld-linux-x86-64.so.2  [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
