fixture	key	class	before	after
libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx.sheet.2.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=3476;sha=b670cf7ba5351b1c3744160ad8de4cbaf94e9d8cbee3c0e976be9d9bec1f11c3	len=1246;sha=7673d6452f50dfa46b24ea6f351764d4700974ee30c9744586e1b0551cc05300
libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=688;sha=9084e7af5c8a8330e13ce0734a54f70d989edc15c7e5c8688a5323a3b916a0ec	len=399;sha=923f95943fc1aefea4cfb95107c6851e4f7f63a29b6ee49cdf0c9c7ede42304f
libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=665;sha=bba8c643cab8604e5be4eeda8d73972779d5fed795004ab41dcac9608913ffdf	len=376;sha=cf96667523437f0657c73f77611d2cd3d80f2e279ef063a156413cab598f5814
libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=398;sha=7951467064b220b260821d1c00c8cbc2838dd12f1429d28041e6d9de4c2a27dc	len=542;sha=917dabb15a40d0bea8c2be99b308e399984fc520b493499f4134d613ddf30006
libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=97;sha=240b5cfc9d4a0c1a32333ae493f5b960faed90dd6a44a4214f4373110b89083f	len=241;sha=8e9044a1d6a935c141ec5be947de07e140b038aa6aae4cc4b0bdaa696027dcf6
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=97;sha=76f1cbdb5f10447adc0de1aed7e743570ca2587936d4a460a9f09afc6e917df5	len=241;sha=90697cfa1b73b0bb37c112f117beb06b1674fd4c84784c48767205179308a630
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	xlsx.sheet.2.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1144;sha=c672ff221c0a376f028ddd14049ce4e548fe7636bb9e9dc84303169813df87b1	len=626;sha=e9bf33171ad99a3ebf0024965e167c36edc3fe039571e870118f92e840f4dc36
