op,shape,order,leg,rep,cycles_per_op
eager_paragraph_count,200,3,after,3,321170
eager_paragraph_count,200,3,after,4,352205
eager_paragraph_count,200,3,after,5,323284
eager_paragraph_count,200,3,after,6,346787
eager_paragraph_count,200,3,after,7,358957
eager_paragraph_count,200,3,after,8,358790
eager_paragraph_count,200,3,after,9,368574
eager_paragraph_count,200,3,after,10,308464
eager_paragraph_count,200,3,after,11,358671
eager_paragraph_count,200,3,after,12,323637
eager_paragraph_count,200,3,after,13,341630
eager_paragraph_count,200,3,after,14,335742
eager_paragraph_count,200,3,after,15,334330
eager_paragraph_count,200,4,before,1,348339
eager_paragraph_count,200,4,before,2,305908
eager_paragraph_count,200,4,before,3,356820
eager_paragraph_count,200,4,before,4,355907
eager_paragraph_count,200,4,before,5,346155
eager_paragraph_count,200,4,before,6,335122
eager_paragraph_count,200,4,before,7,324558
eager_paragraph_count,200,4,before,8,342286
eager_paragraph_count,200,4,before,9,362426
eager_paragraph_count,200,4,before,10,341386
eager_paragraph_count,200,4,before,11,347456
eager_paragraph_count,200,4,before,12,339024
eager_paragraph_count,200,4,before,13,313168
eager_paragraph_count,200,4,before,14,1480063
eager_paragraph_count,200,4,before,15,-759585
eager_paragraph_first,200,1,before,1,316951
eager_paragraph_first,200,1,before,2,364394
eager_paragraph_first,200,1,before,3,364544
eager_paragraph_first,200,1,before,4,358114
eager_paragraph_first,200,1,before,5,342868
eager_paragraph_first,200,1,before,6,350226
eager_paragraph_first,200,1,before,7,142935
eager_paragraph_first,200,1,before,8,333575
eager_paragraph_first,200,1,before,9,299875
eager_paragraph_first,200,1,before,10,368442
eager_paragraph_first,200,1,before,11,353015
eager_paragraph_first,200,1,before,12,298871
eager_paragraph_first,200,1,before,13,364084
eager_paragraph_first,200,1,before,14,321714
eager_paragraph_first,200,1,before,15,337930
eager_paragraph_first,200,2,after,1,326739
eager_paragraph_first,200,2,after,2,342045
eager_paragraph_first,200,2,after,3,347903
eager_paragraph_first,200,2,after,4,323229
eager_paragraph_first,200,2,after,5,364710
eager_paragraph_first,200,2,after,6,373550
eager_paragraph_first,200,2,after,7,370149
eager_paragraph_first,200,2,after,8,206757
eager_paragraph_first,200,2,after,9,334370
eager_paragraph_first,200,2,after,10,332432
eager_paragraph_first,200,2,after,11,348120
eager_paragraph_first,200,2,after,12,317446
eager_paragraph_first,200,2,after,13,308457
eager_paragraph_first,200,2,after,14,335789
eager_paragraph_first,200,2,after,15,366541
eager_paragraph_first,200,3,after,1,337221
eager_paragraph_first,200,3,after,2,345285
eager_paragraph_first,200,3,after,3,345295
eager_paragraph_first,200,3,after,4,330553
eager_paragraph_first,200,3,after,5,346228
eager_paragraph_first,200,3,after,6,360673
eager_paragraph_first,200,3,after,7,356920
eager_paragraph_first,200,3,after,8,355887
eager_paragraph_first,200,3,after,9,351678
eager_paragraph_first,200,3,after,10,333433
eager_paragraph_first,200,3,after,11,346060
eager_paragraph_first,200,3,after,12,320310
eager_paragraph_first,200,3,after,13,356946
eager_paragraph_first,200,3,after,14,371454
eager_paragraph_first,200,3,after,15,322401
eager_paragraph_first,200,4,before,1,332791
eager_paragraph_first,200,4,before,2,336774
eager_paragraph_first,200,4,before,3,352708
eager_paragraph_first,200,4,before,4,345091
eager_paragraph_first,200,4,before,5,374322
eager_paragraph_first,200,4,before,6,359070
eager_paragraph_first,200,4,before,7,348574
eager_paragraph_first,200,4,before,8,348198
eager_paragraph_first,200,4,before,9,347976
eager_paragraph_first,200,4,before,10,349546
eager_paragraph_first,200,4,before,11,354811
eager_paragraph_first,200,4,before,12,362944
eager_paragraph_first,200,4,before,13,330753
eager_paragraph_first,200,4,before,14,354236
eager_paragraph_first,200,4,before,15,337583
