55,547,844 (100.0%)  PROGRAM TOTALS
   255,374 ( 0.46%)  ./malloc/./malloc/malloc.c:_int_free_chunk [/usr/lib/x86_64-linux-gnu/libc.so.6]
   249,879 ( 0.45%)  ./malloc/./malloc/malloc.c:__libc_malloc2 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   248,960 ( 0.45%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:<std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&litchi_opc::packuri::PackURI>
   248,040 ( 0.45%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/alloc/src/raw_vec/mod.rs:<alloc::raw_vec::RawVecInner>::finish_grow [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
   235,976 ( 0.42%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/std/src/sys/alloc/unix.rs:__rustc::__rdl_alloc
   230,400 ( 0.41%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/pattern.rs:<litchi_opc::packuri::PackURI>::new::<alloc::string::String>
   230,400 ( 0.41%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/validations.rs:<litchi_opc::packuri::PackURI>::new::<alloc::string::String>
   217,840 ( 0.39%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/hash/mod.rs:<std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&litchi_opc::packuri::PackURI> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
   215,520 ( 0.39%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/iter.rs:<core::str::iter::SplitInternal<char>>::next [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
   202,600 ( 0.36%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zlib-rs-0.6.8/src/inflate/writer.rs:<zlib_rs::inflate::writer::Writer>::copy_match_runtime_dispatch [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
