profile	case	shape	overlay_count	timed_metric	row_type	comparison	leg	implementation	revision	sample_count	p50_ns	mean_ns	p95_ns	p99_ns	candidate_reduction_p50_percent	candidate_reduction_mean_percent	candidate_reduction_p95_percent	candidate_reduction_p99_percent	same_implementation_drift_p50_percent	same_implementation_drift_mean_percent	same_implementation_drift_p95_percent	same_implementation_drift_p99_percent	authorized_statistics
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	1693152	1689375.0859999997	1744628	1791368	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	1719137	1720364.3199999991	1755428	1801678	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	1733802	1732737.0800000005	1765887	1790408	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	-3.955862326412979	-3.3065815525616484	-2.540851699602327	-2.185965350615243	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	0.8458289931606954	0.7140587076258218	0.5922802534930038	-0.6294654626208105	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	6.451684203934127	5.958200726163443	3.79035357982083	2.131203555865872	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	1.5347115911625182	1.8343607797232235	0.6190431427215429	0.5755378012781294	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	2640811	2643581.2180000036	2690471	2745972	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	2641371	2201665.376	2749661	2777992	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	2646886	2215878.6059999987	2762002	2778453	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	2678857	2231725.5759999994	2768491	2792962	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	-0.021205606913936668	16.716560058417045	-2.199986545106786	-1.1660716132575277	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	1.1934567615964569	0.7100769991803273	0.23438761404678576	0.5194843324040929	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	1.4406937868707757	-15.579458622103271	2.8998640015075425	1.7112337634906691	none
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	32	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	0.2087930851061816	0.6455672217465341	0.4488189635013189	0.016594720215177005	none
