experiment	leg	profile	binary_role	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
mapless-binary-search	A2	normal	control	opc_casefold_source_open	256	297481	303801	306740	298388.7666666666	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_lookup	256	18420	20930	24020	18693.033333333333	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_lookup	256	21615	22790	24090	21742.46666666666	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_exact_lookup	256	2340	2370	2370	2341.666666666667	30	0	0	144	0	0	0	144	d8a61329d8e8909a043f56d9e6bf821fc208c82f8791c5810ed632a30b3ce637	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_case_alias_lookup	256	42700	43430	47490	42871.13333333333	30	0	0	144	0	0	0	144	a0f21335f2147ff2ce7cfaaa7db68a7c62e95ec23d8ba9df8b74864e20b45833	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_genuine_miss_lookup	256	18515	18650	21090	18584.033333333333	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_open	2047	3410504	3477670	3514270	3417242.6666666665	30	-	-	-	-	-	-	0	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_open	2047	2417641	2448367	2459896	2419691.9333333327	30	11	150192	4	0	0	1	0	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_lookup	2047	144680	150340	152221	145450.73333333328	30	-	-	-	-	-	-	144	3cd131d27cdec2640f017ff7998ef2fc7eb6462832039f401686f3ab021355ea	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_lookup	2047	151130	156800	158370	152006.43333333332	30	0	0	144	0	0	0	144	3cd131d27cdec2640f017ff7998ef2fc7eb6462832039f401686f3ab021355ea	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_exact_lookup	2047	2300	2320	2340	2297.3333333333335	30	0	0	144	0	0	0	144	5ff83b42956e53036f19926d023a5e98f59889ec64e51dd618b6100753c9367e	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_case_alias_lookup	2047	304751	314631	328891	307516.8666666667	30	0	0	144	0	0	0	144	3336a08cd318f74e98515959a34dce128aefc6b9fa3546151fbf627572c025d9	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_genuine_miss_lookup	2047	144336	144671	146981	137294.09999999995	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_open	2048	3446070	3481519	3483009	3446589.7	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_open	2048	2498632	2525187	2530687	2499774.866666667	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_lookup	2048	105621	111340	111370	106129.96666666667	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_lookup	2048	37060	37180	37240	37031.433333333334	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_exact_lookup	2048	2320	2360	2380	2327.0000000000005	30	0	0	144	0	0	0	144	fa9dd41f44885e503e7a9fdbc03e97aa3b515723fe578b0e9bcaf114238990c9	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_case_alias_lookup	2048	68180	72721	72900	68563.2	30	0	0	144	0	0	0	144	ab0ffe95ce1e4c74f73dd7b9ea910991299588ee79917e99efe6c0a8e26262b4	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_genuine_miss_lookup	2048	37930	38010	48810	38292.13333333332	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_open	16384	31867967	32689579	33175061	31885957.900000002	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_open	16384	23826020	24360056	24452917	23799928.400000002	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_eager_lookup	16384	2257835	2279861	2287260	2259767.5999999996	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_lookup	16384	47370	53070	55091	48091.866666666676	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_exact_lookup	16384	2300	2330	2381	2305.3666666666663	30	0	0	144	0	0	0	144	58ee4d69d4dd8ed44c627b65ffe31ac45a9c0a0f9c0c7d05478298cdb0a00b31	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_case_alias_lookup	16384	86830	90131	92190	87278.76666666665	30	0	0	144	0	0	0	144	f197c1243908b5970c2045ae96d6312d27c2109a08ca4a3752ed36b2ae1a8fce	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
mapless-binary-search	A2	normal	control	opc_casefold_source_genuine_miss_lookup	16384	46260	51381	51480	46681.200000000004	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
