container	before_requests	after_requests	before_bytes	after_bytes	before_versions	after_versions
test-data/iwork/keynote/media-comments-final-removal-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-comments-shared-removal-native.key	3	3	4972	4972	4	4
test-data/iwork/keynote/media-lifecycle-audio-duplicate-native.key	3	3	4972	4972	4	4
test-data/iwork/keynote/media-lifecycle-audio-remove-native.key	3	3	4899	4899	4	4
test-data/iwork/keynote/media-lifecycle-duplicate-native.key	3	3	4972	4972	4	4
test-data/iwork/keynote/media-lifecycle-remove-native.key	3	3	4809	4809	4	4
test-data/iwork/keynote/media-properties-audio-focused-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-properties-file-focused-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-properties-placeholder-native.key	3	3	5118	5118	4	4
test-data/iwork/keynote/media-replacement-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-replacement-retirement-resaved.key	3	3	4972	4972	4	4
test-data/iwork/keynote/media-watermark-reduplicate-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-watermark-removal-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/slide-audio-creation-focused-native.key	3	3	5057	5057	4	4
test-data/iwork/keynote/slide-layout-native-resaved.key	3	3	5053	5053	4	4
test-data/iwork/keynote/slide-movie-creation-focused-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/slide-movie-creation-fresh-focused-native.key	3	3	5126	5126	4	4
test-data/iwork/keynote/slide-movie-creation-source-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/slide-movie-geometry-focused-native.key	3	3	5118	5118	4	4
test-data/iwork/keynote/slide-movie-geometry-source-native.key	3	3	5118	5118	4	4
test-data/iwork/keynote/slide-movie-geometry-vertical-focused-native.key	3	3	5118	5118	4	4
test-data/iwork/keynote/slide-table-merges-native.key	3	3	7172	7172	4	4
test-data/iwork/keynote/slide-table-read-native.key	3	3	7172	7172	4	4
test-data/iwork/keynote/table-discovery.key	3	3	7180	7180	4	4
test-data/iwork/numbers/audio-playback-native-resaved.numbers	3	3	3433	3433	4	4
test-data/iwork/numbers/audio-playback-native.numbers	3	3	3433	3433	4	4
test-data/iwork/numbers/basic.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/cell-value-native.numbers	3	3	3361	3361	4	4
test-data/iwork/numbers/chart-arrangement-native.numbers	3	3	3440	3440	4	4
test-data/iwork/numbers/chart-arrangement-retirement-resaved.numbers	3	3	3447	3447	4	4
test-data/iwork/numbers/chart-data-edited-native.numbers	3	3	3308	3308	4	4
test-data/iwork/numbers/chart-data-native.numbers	3	3	3447	3447	4	4
test-data/iwork/numbers/chart-grid-authored-native.numbers	3	3	3308	3308	4	4
test-data/iwork/numbers/chart-grid-replaced-native.numbers	3	3	3308	3308	4	4
test-data/iwork/numbers/comment-compat-native-multiroot.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/comment-metadata-native-resaved.numbers	3	3	3308	3308	4	4
test-data/iwork/numbers/comment-reader-native-created.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/custom-datetime-native-resaved.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/custom-datetime-native.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/custom-number-native-resaved.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/custom-number-native.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/custom-retirement-cleared.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/custom-retirement-resaved.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/custom-text-native-resaved.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/custom-text-native-unicode.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/custom-text-native.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/duration-native-resaved.numbers	3	3	3376	3376	4	4
test-data/iwork/numbers/duration-native.numbers	3	3	3369	3369	4	4
test-data/iwork/numbers/formula-arena-native.numbers	3	3	3354	3354	4	4
test-data/iwork/numbers/formula-budget-native.numbers	3	3	3361	3361	4	4
test-data/iwork/numbers/formula-envelope-native.numbers	3	3	3354	3354	4	4
test-data/iwork/numbers/formula-events-native.numbers	3	3	3361	3361	4	4
test-data/iwork/numbers/image-adjustments-direct-resaved.numbers	3	3	3677	3677	4	4
test-data/iwork/numbers/image-adjustments-native-resaved.numbers	3	3	3677	3677	4	4
test-data/iwork/numbers/image-adjustments-native.numbers	3	3	3670	3670	4	4
test-data/iwork/numbers/image-adjustments-retirement-resaved.numbers	3	3	3677	3677	4	4
test-data/iwork/numbers/shared-model-native.numbers	3	3	3354	3354	4	4
test-data/iwork/numbers/table-data-list-native.numbers	3	3	3354	3354	4	4
test-data/iwork/numbers/table-merges-native.numbers	3	3	3361	3361	4	4
test-data/iwork/numbers/table-relocation-native-resaved.numbers	3	3	6046	6046	4	4
test-data/iwork/numbers/table-relocation-native.numbers	3	3	6053	6053	4	4
test-data/iwork/pages/audio-playback-native-resaved.pages	3	3	1052	1052	4	4
test-data/iwork/pages/audio-playback-native.pages	3	3	1044	1044	4	4
test-data/iwork/pages/basic.pages	3	3	980	980	4	4
test-data/iwork/pages/body-sections-unicode.pages	3	3	980	980	4	4
test-data/iwork/pages/body-table-catalog-native.pages	3	3	5822	5822	4	4
test-data/iwork/pages/body-table-cells-native.pages	3	3	5830	5830	4	4
test-data/iwork/pages/body-table-comment-hidden-native-saved.pages	3	3	3424	3424	4	4
test-data/iwork/pages/body-table-cross-reference-native.pages	3	3	5830	5830	4	4
test-data/iwork/pages/body-table-hidden-axes-cleared-native.pages	3	3	3416	3416	4	4
test-data/iwork/pages/body-table-hidden-axes-focused-native.pages	3	3	3424	3424	4	4
test-data/iwork/pages/body-table-hidden-axes-native.pages	3	3	3424	3424	4	4
test-data/iwork/pages/body-table-merges-native.pages	3	3	5822	5822	4	4
test-data/iwork/pages/body-table-name-focused-native-saved.pages	3	3	3416	3416	4	4
test-data/iwork/pages/body-table-name-focused.pages	3	3	3243	3243	4	4
test-data/iwork/pages/body-table-name-visible-native.pages	3	3	3424	3424	4	4
test-data/iwork/pages/body-table-read-native.pages	3	3	5822	5822	4	4
test-data/iwork/pages/body-table-visible.pages	3	3	3416	3416	4	4
test-data/iwork/pages/chart-arrangement-native.pages	3	3	1051	1051	4	4
test-data/iwork/pages/chart-arrangement-retirement-resaved.pages	3	3	1059	1059	4	4
test-data/iwork/pages/chart-data-edited-native.pages	3	3	1051	1051	4	4
test-data/iwork/pages/chart-data-native.pages	3	3	1059	1059	4	4
test-data/iwork/pages/chart-grid-authored-native.pages	3	3	964	964	4	4
test-data/iwork/pages/chart-grid-replaced-native.pages	3	3	964	964	4	4
test-data/iwork/pages/image-adjustments-direct-resaved.pages	3	3	1289	1289	4	4
test-data/iwork/pages/image-adjustments-native-resaved.pages	3	3	1289	1289	4	4
test-data/iwork/pages/image-adjustments-native.pages	3	3	1281	1281	4	4
test-data/iwork/pages/image-adjustments-retirement-resaved.pages	3	3	1289	1289	4	4
test-data/iwork/pages/source-built-hidden-axes-before.pages	3	3	646	646	4	4
test-data/iwork/pages/source-built-hidden-axes-legacy.pages	3	3	646	646	4	4
test-data/iwork/pages/source-built-table-stylesheet-before.pages	3	3	646	646	4	4
test-data/iwork/pages/source-built-table-stylesheet-native-saved.pages	3	3	3296	3296	4	4
test-data/iwork/synthetic/numbers/custom-focused.numbers	3	3	644	644	4	4
test-data/libreoffice-core/chart2/qa/extras/data/xlsx/boxWhisker.xlsx	9	6	4250	4250	4	4
test-data/libreoffice-core/chart2/qa/extras/data/xlsx/tdf143127.xlsx	10	6	5046	5046	4	4
test-data/libreoffice-core/dbaccess/qa/unit/data/tdf132924.odb	3	3	539	539	4	4
test-data/libreoffice-core/desktop/qa/data/3page.odg	3	3	1135	1135	4	4
test-data/libreoffice-core/desktop/qa/data/BlankDrawDocument.odg	3	3	1135	1135	4	4
test-data/libreoffice-core/extras/source/database/biblio.odb	3	3	527	527	4	4
test-data/libreoffice-core/filter/qa/unit/data/semi-transparent-fill.odg	3	3	1135	1135	4	4
test-data/libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx	7	5	4049	4049	4	4
test-data/libreoffice-core/oox/qa/unit/data/import-mce.pptx	19	6	9021	9021	4	4
test-data/libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx	20	6	9305	9305	4	4
test-data/libreoffice-core/oox/qa/unit/data/tdf131082.pptx	11	7	5578	5578	4	4
