profile	leg	implementation	revision	parts	shape	sample_count	min_ns	p50_ns	mean_ns	p95_ns	p99_ns	max_ns	standard_deviation_ns	ci95_lower_ns	ci95_upper_ns	sample_vector_sha256	archive_sha256	owned_payload_sha256	owned_exact_source_sha256	output_sha256
allocator	B1	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	2047	parts_2047	30	6397099	6421464	6420677.8	6439349	6455389	6455389	13276.057556160233	6415720.995258195	6425634.604741804	f6f758a01eaed2e978ab0366325cb2d198bd6bf41ae9417c8f5731ffc814f9b0	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	e627ffd5e402a6e2217aeedb5def6fbc319264a0925d4d25cba29912dbb7b264	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f
allocator	B1	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	2048	parts_2048	30	6408898	6424353	6424881.933333332	6443479	6446789	6446789	9549.24978794964	6421316.585229849	6428447.281436814	33cc4df44cbf91dac5b0fc4127334aa4b7d1e6cb4cf4d091a2857b8303e2d369	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	fb513dea41b071a231935465dfcec61d6c1fe3c9b9510d15b04e8ca267d65761	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298
allocator	B1	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	16384	parts_16384	30	59486195	60431200	60521447.76666666	61508675	61917586	61917586	644141.1534189655	60280948.51377084	60761947.019562475	b53ef73d7a17b24f4250ca5b074c63d825eb972fb109ef9a07fd9dbfe241e60e	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	b613ccd8ee7ff1e9b7aebdb4319ced1abf72c721b7aaf18044a14a82470aeeb8	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd
allocator	B2	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	256	parts_256	30	786954	796208	796281.9333333333	802534	810834	810834	4392.637114876218	794641.8798469773	797921.9868196894	20b9adb988085277e0a4847e087a628bf5c4cd93642d77195bfdc772b9889dd7	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	4d29aa5866bfbd4bfbf1856078b7bb1e47364cd4b7c295847cc10fbaa4d6f357	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9
allocator	B2	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	2047	parts_2047	30	6388868	6407713	6408419.133333334	6426259	6437559	6437559	11189.545529377869	6404241.357506133	6412596.909160535	6060f5873d881665a727c1caf5de6bbe86754c801b0bc97cba42e72d0e92b2e2	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	e627ffd5e402a6e2217aeedb5def6fbc319264a0925d4d25cba29912dbb7b264	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f
allocator	B2	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	2048	parts_2048	30	6381798	6405729	6406768.333333333	6422479	6429409	6429409	11056.023473992485	6402640.409862863	6410896.256803803	57fccf83679db21d1883ed59bd9b497c70f07e8178d727672e48f1160db1c053	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	fb513dea41b071a231935465dfcec61d6c1fe3c9b9510d15b04e8ca267d65761	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298
allocator	B2	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	16384	parts_16384	30	59608426	61167690	61318558.13333333	63259300	63444772	63444772	1019079.3984370485	60938070.358775295	61699045.90789137	b39815bd4d7360aa8602ba665cdbccfdd53c462d2fc0725047650b40144dbe5d	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	b613ccd8ee7ff1e9b7aebdb4319ced1abf72c721b7aaf18044a14a82470aeeb8	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd
allocator	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	256	parts_256	30	851884	855324	855350.4666666663	858454	861254	861254	2005.943680808417	854601.5190889112	856099.4142444214	ec04af335fa2da94bb8ffb96ea4575af15a159d0aaae17dd2816ea25e76811b5	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	4d29aa5866bfbd4bfbf1856078b7bb1e47364cd4b7c295847cc10fbaa4d6f357	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9
allocator	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	2047	parts_2047	30	6832260	6854265	6867971.033333335	6953751	6999131	6999131	36840.02794888544	6854216.285400617	6881725.781266053	0e81434f259e9eee3c1e4943b3561e6781e62ced831862133be0f3996fc3dfbb	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	e627ffd5e402a6e2217aeedb5def6fbc319264a0925d4d25cba29912dbb7b264	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f
allocator	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	2048	parts_2048	30	6878581	6898130	6898034.1	6914871	6922210	6922210	10146.285559003416	6894245.840107496	6901822.359892503	cca3acbb01f97242311c9808c345e7f09026ad1b3c97ff03218fe82772504140	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	fb513dea41b071a231935465dfcec61d6c1fe3c9b9510d15b04e8ca267d65761	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298
allocator	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	16384	parts_16384	30	63389121	64181644	64343518.29999999	65740221	65826961	65826961	727028.5126399099	64072071.87370695	64614964.72629303	3c31c2e81fd46867c312cc7aba147bd6603cc5927fed308bb40d32003abb341b	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	b613ccd8ee7ff1e9b7aebdb4319ced1abf72c721b7aaf18044a14a82470aeeb8	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd
