case,profile,repeat,p50_ms,p95_ms,p99_ms,operation_heap_increment_bytes,allocated_bytes,allocation_calls,normal_process_max_rss_bytes,source_MiB_per_s,authored_MiB_per_s
s64-a64-short-c64,axis-compression-store-s64-a64-short-c64,1,0.8185835,0.82489,0.82683479,528838.0,2827843.0,808.0,5931008,5.815832988294412,11.631665976588824
s64-a64-short-c64,axis-compression-store-s64-a64-short-c64,2,0.805023,0.813805,0.8152131,528838.0,2827843.0,808.0,6045696,5.913796492909531,11.827592985819061
s64-a64-short-c64,axis-input-file-s64-a64-short-c64,1,2.2092735,2.2481255499999997,2.25814859,989166.0,4069803.0,822.0,6856704,0.9090944095590254,4.309780904576121
s64-a64-short-c64,axis-input-file-s64-a64-short-c64,2,2.115979,2.1254495,2.1298703,989166.0,4069803.0,822.0,6643712,0.9491767696968803,4.499800982266692
s64-a64-short-c64,axis-input-latency-s64-a64-short-c64,1,12.434343,12.45259,12.454400300000001,989278.0,4069915.0,823.0,6635520,0.16152346050960287,0.7657408498233025
s64-a64-short-c64,axis-input-latency-s64-a64-short-c64,2,12.426506,12.449346449999998,12.87552292,989278.0,4069915.0,823.0,6524928,0.16162532845525612,0.7662237793434366
s64-a64-short-c64,axis-input-short-read-s64-a64-short-c64,1,0.807823,0.82168245,0.8260233,989278.0,4069915.0,823.0,6373376,2.486235857633818,11.786599621375137
s64-a64-short-c64,axis-input-short-read-s64-a64-short-c64,2,0.9162935,0.9293789499999999,0.93986141,989278.0,4069915.0,823.0,6434816,2.1919158530693403,10.391304784921317
s64-a64-short-c64,axis-sink-4096-s64-a64-short-c64,1,0.882078,0.8916475,0.8991596,989190.0,4069827.0,822.0,6664192,2.276939574011694,10.794380202722106
s64-a64-short-c64,axis-sink-4096-s64-a64-short-c64,2,0.7929035,0.801817,0.80629349,989190.0,4069827.0,822.0,6529024,2.533018584248887,12.00838439940213
s64-a64-short-c64,axis-sink-512-s64-a64-short-c64,1,0.7961685,0.80249,0.8029201,989190.0,4069827.0,822.0,6569984,2.522631166364823,11.959140344248052
s64-a64-short-c64,axis-sink-512-s64-a64-short-c64,2,0.7966185,0.8066435500000001,0.80959229,989190.0,4069827.0,822.0,6397952,2.5212046043117127,11.952377383403674
s64-a64-short-c64,axis-sink-65536-s64-a64-short-c64,1,0.796473,0.8034750500000001,0.80472399,989190.0,4069827.0,822.0,6459392,2.521668106935945,11.954574729177814
s64-a64-short-c64,axis-sink-65536-s64-a64-short-c64,2,0.798729,0.8083510500000001,0.81123059,989190.0,4069827.0,822.0,6553600,2.5145430086171476,11.920796485296108
