# dvtr-insert-n1  (callgrind --separate-callers=1, inclusive)
120,788,234 (22.30%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/alloc/src/alloc.rs:alloc::raw_vec::RawVecInner<A>::finish_grow'litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice
120,516,695 (22.25%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::load_source_catalog'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [<probe>]
116,795,740 (21.57%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::capture_auxiliary_source'litchi_xlsx::cell_values::snapshot::load_source_catalog [<probe>]
116,330,038 (21.48%)  <repo>/crates/litchi-xlsx/src/raw/styles.rs:litchi_xlsx::raw::styles::parse'litchi_xlsx::cell_values::snapshot::capture_auxiliary_source [<probe>]
103,769,651 (19.16%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_ooxml'litchi_xlsx::raw::styles::parse [<probe>]
 54,917,721 (10.14%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::transition'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse [<probe>]
 52,067,496 ( 9.61%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::transition [<probe>]
 41,710,718 ( 7.70%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source [<probe>]
 41,287,750 ( 7.62%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse'litchi_xlsx::raw::worksheet::parse [<probe>]
 31,869,992 ( 5.88%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ptr/mod.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::esc
 27,317,312 ( 5.04%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms'litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice [/usr/lib/x86_64-linux-gnu/libc.so.6]
 22,510,412 ( 4.16%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start_row'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start [<probe>]
