
### docbig/open -- memcpy/memset by CALLER (whole op = 4,962,445 Ir)
        Ir/op  %whole  calls/op  fn      caller
       53,896  14.59%      10.0  memcpy  litchi_ppt::records::record::Record::parse_impl
       30,396   8.23%     147.0  memcpy  litchi_ppt::records::record::Record::parse_impl'2
        4,867   1.32%     314.0  memcpy  litchi_cfb::directory_name::directory_name_data
        4,115   1.11%       1.0  memset  litchi_cfb::file::OleFile<R>::load_fat
        1,020   0.28%      34.0  memcpy  litchi_cfb::file::OleFile<R>::load_directory
          845   0.23%      15.7  memcpy  0x0000000004ab9680
          840   0.23%      28.0  memcpy  <std::fs::File>::metadata
          270   0.07%       9.0  memcpy  alloc::vec::Vec<T,A>::resize
          240   0.06%       8.0  memcpy  litchi_cfb::file::try_push
          164   0.04%       3.0  memset  litchi_cfb::file::OleFile<R>::read_sector_run_into
          148   0.04%       3.0  memcpy  litchi_cfb::shared::SharedOleFile::open_source_with_limits
           90   0.02%       3.0  memcpy  litchi_ppt::package::source::SourceBackedPackage::from_read_at_with_limits
           84   0.02%       6.0  memcpy  <alloc::string::String as core::fmt::Write>::write_str
  (other edges) 763 Ir/op ; attributed total 160,154 Ir/op = 43.37% of the whole operation

### pptsmall/text -- memcpy/memset by CALLER (whole op = 444,281 Ir)
        Ir/op  %whole  calls/op  fn      caller
       62,417  14.05%       1.0  memset  litchi_cfb::shared::SharedOleFile::read_fat_stream
       54,650  12.30%      13.0  memcpy  litchi_ppt::records::record::Record::parse_impl
       31,860   7.17%     199.0  memcpy  litchi_ppt::records::record::Record::parse_impl'2
        4,867   1.10%     314.0  memcpy  litchi_cfb::directory_name::directory_name_data
        4,115   0.93%       1.0  memset  litchi_cfb::file::OleFile<R>::load_fat
        1,409   0.32%      34.0  memcpy  0x0000000004ab9680
        1,020   0.23%      34.0  memcpy  litchi_cfb::file::OleFile<R>::load_directory
          840   0.19%      28.0  memcpy  <std::fs::File>::metadata
          270   0.06%       9.0  memcpy  alloc::vec::Vec<T,A>::resize
          240   0.05%       8.0  memcpy  litchi_cfb::file::try_push
          178   0.04%       3.0  memset  litchi_cfb::file::OleFile<R>::read_sector_run_into
          169   0.04%      11.0  memcpy  alloc::str::join_generic_copy
          148   0.03%       3.0  memcpy  litchi_cfb::shared::SharedOleFile::open_source_with_limits
           90   0.02%       3.0  memcpy  litchi_ppt::package::source::SourceBackedPackage::from_read_at_with_limits
  (other edges) 991 Ir/op ; attributed total 163,264 Ir/op = 36.75% of the whole operation
