fixture	members	structural	runs	run_members	retained_bytes	longest_run
test-data/odf/native-resave/libreoffice-resaved/font-styles-litchi.odf	7	0	0	0	0	0
test-data/odf/native-resave/libreoffice-resaved/calc-two-sheets-litchi.ods	9	0	0	0	0	0
test-data/odf/native-resave/libreoffice-resaved/writer-header-footer-litchi.odt	9	0	0	0	0	0
test-data/odf/native-resave/libreoffice-resaved/tdf169979-litchi.odp	9	0	0	0	0	0
test-data/odf/native-resave/litchi-changed/rhbz1870501-litchi.odg	15	0	0	0	0	0
test-data/odf/native-resave/litchi-changed/font-styles-litchi.odf	6	0	0	0	0	0
test-data/odf/native-resave/litchi-changed/calc-two-sheets-litchi.ods	8	0	0	0	0	0
test-data/odf/native-resave/litchi-changed/writer-header-footer-litchi.odt	8	0	0	0	0	0
test-data/odf/native-resave/litchi-changed/tdf169979-litchi.odp	8	0	0	0	0	0
test-data/odf/native-resave/source/font-styles.odf	15	0	0	0	0	0
test-data/odf/native-resave/source/rhbz1870501.odg	29	0	0	0	0	0
test-data/poi/test-data/document/heading123.docx	12	3	1	3	2348	2348
test-data/poi/test-data/document/testComment.docx	17	4	1	3	2411	2411
test-data/poi/test-data/document/Bug54849.docx	26	5	1	3	2606	2606
test-data/poi/test-data/document/NumberingWithOutOfOrderId.docx	12	3	1	3	2310	2310
test-data/poi/test-data/document/saut_page.docx	30	4	1	2	676	676
test-data/poi/test-data/document/Numbering.docx	12	3	1	3	2310	2310
test-data/poi/test-data/document/61745.docx	21	5	1	3	2377	2377
test-data/poi/test-data/document/NumberingWOverrides.docx	12	3	1	3	2310	2310
test-data/poi/test-data/document/ComplexNumberedLists.docx	13	3	1	3	2393	2393
test-data/poi/test-data/document/EmbeddedDocument.docx	13	3	1	2	724	724
test-data/odfpy/tests/examples/simpletable.odt	15	0	0	0	0	0
test-data/libreoffice-core/xmlsecurity/doc/OpenDocumentSignatures-Workflow.odg	16	0	0	0	0	0
test-data/iwork/synthetic/numbers/custom-focused.numbers	9	0	0	0	0	0
test-data/iwork/keynote/drawable-comments-cross-component-native/unrooted-unique-native-create-reply.key	59	0	0	0	0	0
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-remove.key	59	0	0	0	0	0
