package	index	sheet	verdict
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/NewlineInFormulas.xlsx	1	Sheet2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/NewlineInFormulas.xlsx	2	Sheet3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx	1	Sheet2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleMultiCell.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleMultiCell.xlsx	1	Sheet2	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleMultiCell.xlsx	2	Sheet3	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleNormal.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleNormal.xlsx	1	Sheet Number 2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleScatterChart.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleScatterChart.xlsx	1	Chart1	no-target
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleStrict.xlsx	0	Sheet1	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/extendedProperties'
/home/zhuhe/code/litchi-worktrees/before-70d7768cc/test-data/ooxml/xlsx/SimpleStrict.xlsx	1	Sheet Number 2	refused:invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'
