run	leg	profile	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
probe	B1	normal	opc_casefold_source_open	2048	2470276	2508281	2524152	2474483.233333	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_eager_lookup	2048	225801	233201	233351	227096.666667	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_source_lookup	2048	36811	42400	43170	37216.566667	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_eager_open	16384	32150981	35158924	35294355	32380794.1	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_source_open	16384	23872914	24366767	24521187	23755103.866667	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_eager_lookup	16384	2162059	2179010	2179730	2163439.5	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	normal	opc_casefold_source_lookup	16384	47010	52010	52231	47440.866667	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	f2624ec7db68c396af4d5b52e67b21e4d2823ecaac018a06b52163bfb08b33df
probe	B1	allocator	opc_casefold_eager_open	256	586628	592633	595943	585500.766667	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_source_open	256	425421	427741	430552	425334.4	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
probe	B1	allocator	opc_casefold_eager_lookup	256	22290	22980	28731	22569.1	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	6c1d2f29e60be1d3b95eb2ab36f2f2bed94f9b07823536acae03f1f2dce5d6d6
