sweep	before_sha256	after_sha256	identical
corpus-ppt-open-bug58144-headers-footers-2007-fat.tsv	a4874048402b1fd523ba0271fc68529d37ca5c9db7064179956e694ba96fbd73	a4874048402b1fd523ba0271fc68529d37ca5c9db7064179956e694ba96fbd73	yes
corpus-ppt-open-bug58144-headers-footers-2007-payload.tsv	81ae8cdd5482c97e1c181bd34ad94017196821fcebff45f2a6633129b94dee01	81ae8cdd5482c97e1c181bd34ad94017196821fcebff45f2a6633129b94dee01	yes
corpus-ppt-open-cryptoapi-proc2356-dir.tsv	7d2b3ce9702a911fbdd0487386c1d00e2d6de9cf28f03c63e15569f9947f862f	7d2b3ce9702a911fbdd0487386c1d00e2d6de9cf28f03c63e15569f9947f862f	yes
corpus-ppt-open-cryptoapi-proc2356-fat.tsv	8aec9f68c7a5fd88f0468f9304a6154f28f57dad34481752206559d396ae80e7	8aec9f68c7a5fd88f0468f9304a6154f28f57dad34481752206559d396ae80e7	yes
corpus-ppt-open-cryptoapi-proc2356-payload.tsv	c9b8757c5e6eb25f9c6afc77f0527acd8b82d284480c0baf73b19e7695f9ac35	c9b8757c5e6eb25f9c6afc77f0527acd8b82d284480c0baf73b19e7695f9ac35	yes
corpus-ppt-open-data-empty-dir.tsv	e00c96db83b3a3511f068a5dd08f16d5db94ad5607eb5e273f6ebbd640725ea1	e00c96db83b3a3511f068a5dd08f16d5db94ad5607eb5e273f6ebbd640725ea1	yes
corpus-ppt-open-data-empty-fat.tsv	4a598c2a5dcf7121217aeca7186dfaa7913041c43508996f3e9e19b3bc24c36a	4a598c2a5dcf7121217aeca7186dfaa7913041c43508996f3e9e19b3bc24c36a	yes
corpus-ppt-open-data-empty-payload.tsv	61617512aad80b305fd82293749070e2f9b9ea65ad02701c22ff15ae72b2ef38	61617512aad80b305fd82293749070e2f9b9ea65ad02701c22ff15ae72b2ef38	yes
corpus-ppt-open-datetime-dir.tsv	4616efbf236fbd85172c42291c88142143aea2ecf28a7c9d6d1bb8f4bc68360d	4616efbf236fbd85172c42291c88142143aea2ecf28a7c9d6d1bb8f4bc68360d	yes
corpus-ppt-open-datetime-fat.tsv	d6c39dce88a350bee94a750be5b6547e27f9aa1969de68233cbd2dc2c31a4453	d6c39dce88a350bee94a750be5b6547e27f9aa1969de68233cbd2dc2c31a4453	yes
corpus-ppt-open-datetime-payload.tsv	923430be16e055585806ec40d4ed0bb6e993595791b6083ccc65694d4e933edc	923430be16e055585806ec40d4ed0bb6e993595791b6083ccc65694d4e933edc	yes
corpus-ppt-open-empty-dir.tsv	e00c96db83b3a3511f068a5dd08f16d5db94ad5607eb5e273f6ebbd640725ea1	e00c96db83b3a3511f068a5dd08f16d5db94ad5607eb5e273f6ebbd640725ea1	yes
corpus-ppt-open-empty-fat.tsv	4a598c2a5dcf7121217aeca7186dfaa7913041c43508996f3e9e19b3bc24c36a	4a598c2a5dcf7121217aeca7186dfaa7913041c43508996f3e9e19b3bc24c36a	yes
corpus-ppt-open-empty-payload.tsv	61617512aad80b305fd82293749070e2f9b9ea65ad02701c22ff15ae72b2ef38	61617512aad80b305fd82293749070e2f9b9ea65ad02701c22ff15ae72b2ef38	yes
corpus-ppt-open-empty_textbox-dir.tsv	2d4afdbf2d30b18a3fe2e00cbe33b907e36b441dbf1fca5e5da3a64aeae19eac	2d4afdbf2d30b18a3fe2e00cbe33b907e36b441dbf1fca5e5da3a64aeae19eac	yes
corpus-ppt-open-empty_textbox-fat.tsv	18db7fd63df0300266be1d948205402f1ef8963e3b8b09bfe6cff3bce3e0d09b	18db7fd63df0300266be1d948205402f1ef8963e3b8b09bfe6cff3bce3e0d09b	yes
