op,order,leg,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_paragraph_count,4,rev0592,11,584694,2064008,34,29,-3
eager_prepared_paragraph_count,4,rev0592,12,-128732,2063630,310,304,-3
eager_prepared_paragraph_count,4,rev0592,13,1556029,2435297,-426,113,-2
eager_prepared_paragraph_count,4,rev0592,14,-483613,2490812,3275,267,3
eager_prepared_paragraph_count,4,rev0592,15,171849,2267834,-1925,-158,-1
eager_prepared_paragraph_count,4,rev0592,16,-1433186,1840383,-8636,-610,0
eager_prepared_paragraph_count,4,rev0592,17,513719,2130541,15009,-18,1
eager_prepared_paragraph_count,4,rev0592,18,321163,2237872,3067,40,-1
eager_prepared_paragraph_count,4,rev0592,19,1375212,2106305,628,174,-2
eager_prepared_paragraph_count,4,rev0592,20,1382795,2182044,14327,257,1
eager_prepared_paragraph_count,4,rev0592,21,154238,2123239,16698,-137,0
eager_prepared_paragraph_count,4,rev0592,22,-493788,1797207,1003,62,0
eager_prepared_paragraph_count,4,rev0592,23,642033,2143529,-15852,75,1
eager_prepared_paragraph_count,4,rev0592,24,634831,2272017,1117,-61,2
eager_prepared_paragraph_count,4,rev0592,25,789128,2023467,4415,393,0
eager_prepared_warm_paragraph_count,1,rev0592,1,-926226,2170959,15996,88,2
eager_prepared_warm_paragraph_count,1,rev0592,2,-593183,2068054,-1247,8,2
eager_prepared_warm_paragraph_count,1,rev0592,3,1561585,2262926,35,283,2
eager_prepared_warm_paragraph_count,1,rev0592,4,-584971,2312477,1127,-34,0
eager_prepared_warm_paragraph_count,1,rev0592,5,594972,2158484,1613,207,1
eager_prepared_warm_paragraph_count,1,rev0592,6,821138,2135351,-445,150,3
eager_prepared_warm_paragraph_count,1,rev0592,7,927704,2255672,31905,-146,-1
eager_prepared_warm_paragraph_count,1,rev0592,8,366001,2089798,1004,158,-1
eager_prepared_warm_paragraph_count,1,rev0592,9,-404863,2387035,2699,332,1
eager_prepared_warm_paragraph_count,1,rev0592,10,238132,2024548,15728,38,-1
eager_prepared_warm_paragraph_count,1,rev0592,11,-70619,2304816,-5784,214,-1
eager_prepared_warm_paragraph_count,1,rev0592,12,1439596,2204733,283,198,1
eager_prepared_warm_paragraph_count,1,rev0592,13,643220,1752026,630,-31,0
eager_prepared_warm_paragraph_count,1,rev0592,14,1960267,2316010,-1026,217,-1
eager_prepared_warm_paragraph_count,1,rev0592,15,162282,2167674,-13014,147,2
eager_prepared_warm_paragraph_count,1,rev0592,16,357511,2158596,-14632,102,0
eager_prepared_warm_paragraph_count,1,rev0592,17,-226721,2223663,-337,240,1
eager_prepared_warm_paragraph_count,1,rev0592,18,418101,2034947,588,26,4
eager_prepared_warm_paragraph_count,1,rev0592,19,627583,2037216,906,631,-2
eager_prepared_warm_paragraph_count,1,rev0592,20,1120303,2191228,2877,-229,-1
eager_prepared_warm_paragraph_count,1,rev0592,21,639343,2140771,-469,168,1
eager_prepared_warm_paragraph_count,1,rev0592,22,903114,2275536,3877,-37,0
eager_prepared_warm_paragraph_count,1,rev0592,23,-328481,2114804,1268,-229,1
eager_prepared_warm_paragraph_count,1,rev0592,24,209603,1897198,24969,-111,0
eager_prepared_warm_paragraph_count,1,rev0592,25,283778,2137987,-986,-110,0
eager_prepared_warm_paragraph_count,2,base,1,-302244,2270054,1386,417,0
eager_prepared_warm_paragraph_count,2,base,2,2532868,2243386,2366,-18,2
eager_prepared_warm_paragraph_count,2,base,3,-530563,1659723,-2021,337,0
eager_prepared_warm_paragraph_count,2,base,4,-651011,2131481,1093,-116,1
eager_prepared_warm_paragraph_count,2,base,5,818019,2186202,245,92,1
eager_prepared_warm_paragraph_count,2,base,6,442023,2247856,-1737,58,-4
eager_prepared_warm_paragraph_count,2,base,7,-354937,2233674,2293,-425,-1
eager_prepared_warm_paragraph_count,2,base,8,1782494,2041628,-740,-26,0
eager_prepared_warm_paragraph_count,2,base,9,276488,2265164,-3814,87,2
eager_prepared_warm_paragraph_count,2,base,10,1809486,2140952,4646,-152,2
eager_prepared_warm_paragraph_count,2,base,11,1300389,2220880,24,-141,2
eager_prepared_warm_paragraph_count,2,base,12,750641,2100026,2314,116,-1
eager_prepared_warm_paragraph_count,2,base,13,678076,2213221,721,435,-2
eager_prepared_warm_paragraph_count,2,base,14,296397,1965030,13506,-224,1
eager_prepared_warm_paragraph_count,2,base,15,-124162,2244139,1840,236,0
eager_prepared_warm_paragraph_count,2,base,16,357632,1977715,-1084,-265,-2
eager_prepared_warm_paragraph_count,2,base,17,520561,2218104,285,150,3
eager_prepared_warm_paragraph_count,2,base,18,139445,2180259,3042,18,0
eager_prepared_warm_paragraph_count,2,base,19,-1000575,2216190,-7866,-66,0
eager_prepared_warm_paragraph_count,2,base,20,1336166,2181736,-1164,2,1
eager_prepared_warm_paragraph_count,2,base,21,130331,1881453,22776,-332,4
eager_prepared_warm_paragraph_count,2,base,22,623521,2320773,39,-196,-2
eager_prepared_warm_paragraph_count,2,base,23,854651,1982411,-1728,-107,0
eager_prepared_warm_paragraph_count,2,base,24,288544,2052790,-925,39,0
eager_prepared_warm_paragraph_count,2,base,25,-703397,2229796,-3712,104,-1
eager_prepared_warm_paragraph_count,3,base,1,-1463713,1951405,-11924,-444,2
