op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_paragraph_count,rev0592,0,26,77240469,96156636,95886,75409,16598
eager_prepared_paragraph_count,rev0592,1,26,77709896,98280355,81484,75200,16599
eager_prepared_paragraph_count,base,0,26,75505252,94448963,77797,75176,16598
eager_prepared_paragraph_count,base,1,26,76932428,96938900,80900,75304,16598
eager_prepared_paragraph_count,rev0592,0,27,76043838,96067112,78705,75353,16598
eager_prepared_paragraph_count,rev0592,1,27,75644085,98090091,79618,75201,16598
eager_prepared_paragraph_count,base,0,27,77248169,95450158,100046,75939,16598
eager_prepared_paragraph_count,base,1,27,76507649,96795677,77799,75247,16598
eager_prepared_paragraph_count,rev0592,0,28,75754633,96028375,83426,75341,16598
eager_prepared_paragraph_count,rev0592,1,28,75767258,98503746,80719,75343,16600
eager_prepared_paragraph_count,base,0,28,75946345,94587583,77273,75421,16597
eager_prepared_paragraph_count,base,1,28,75369378,96614343,84445,75148,16599
eager_prepared_paragraph_count,rev0592,0,29,76149296,96102331,79130,75366,16598
eager_prepared_paragraph_count,rev0592,1,29,77071318,98302292,80593,75326,16598
eager_prepared_paragraph_count,base,0,29,77174890,94847153,76700,75490,16600
eager_prepared_paragraph_count,base,1,29,78370289,96797927,79396,75115,16597
eager_prepared_paragraph_count,rev0592,0,30,80059058,96229584,92897,75414,16599
eager_prepared_paragraph_count,rev0592,1,30,78980716,98207652,79448,75335,16599
eager_prepared_paragraph_count,base,0,30,78238460,94582930,77583,75346,16598
eager_prepared_paragraph_count,base,1,30,78986144,96774632,95246,75187,16597
eager_prepared_paragraph_count,rev0592,0,31,80081715,96161013,78316,75837,16598
eager_prepared_paragraph_count,rev0592,1,31,80102028,98210256,79198,75257,16598
eager_prepared_paragraph_count,base,0,31,78094530,94654728,82449,75379,16599
eager_prepared_paragraph_count,base,1,31,77387990,96795181,78021,75430,16598
eager_prepared_paragraph_count,rev0592,0,32,77824301,96095381,78604,75406,16599
eager_prepared_paragraph_count,rev0592,1,32,78648292,98296590,80893,75379,16599
eager_prepared_paragraph_count,base,0,32,77842682,94643151,78080,75325,16599
eager_prepared_paragraph_count,base,1,32,79979882,96798069,79368,75022,16598
