fixture	route	before_status	before_field1	before_field2	after_status	after_field1	after_field2	control_status	control_field1	control_field2	differs_raw	differs_normalized
test-data/libreoffice-core/oox/qa/unit/data/tdf131082.pptx	pptx_edit_save	OK	25365	23	OK	25365	23	OK	25365	23	0	0
test-data/libreoffice-core/oox/qa/unit/data/tdf131082.pptx	pptx_guides_publish	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	ERR	XmlPublication { part: "/ppt/presentation.xml", source: NotCompact(Violation { kind: FormattingWhitespace, offset: 55 }) }	XML publication rejected for '/ppt/presentation.xml': noncompact XML FormattingWhitespace at byte 55	0	0
test-data/libreoffice-core/oox/qa/unit/data/tdf131082.pptx	pptx_noop_save	OK	25881	23	OK	25881	23	OK	25881	23	0	0
test-data/libreoffice-core/oox/qa/unit/data/tdf131082.pptx	pptx_source_backed_slide	OK	25881	23	OK	25881	23	OK	25881	23	0	0
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	xlsx_edit_save	OK	27708	14	OK	27708	14	OK	27708	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	xlsx_noop_save	OK	27708	14	OK	27708	14	OK	27708	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	0	0
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	xlsx_source_backed_tab_state	OK	27708	14	OK	27708	14	OK	27708	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx	xlsx_edit_save	OK	26874	22	OK	26874	22	OK	26874	22	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx	xlsx_noop_save	OK	29373	23	OK	29373	23	OK	29373	23	0	0
