# fixture archive_bytes parts inflated_bytes xml_parts xml_bytes largest_part_bytes
test-data/ooxml/pptx/smartart-continuous-block-process.pptx 46204 26 133126 25 122886 20749
test-data/ooxml/pptx/smartart-cycle-matrix.pptx 56986 26 189035 25 172651 35161
test-data/ooxml/pptx/smartart-cycle.pptx 35322 24 131387 24 131387 20749
test-data/ooxml/pptx/smartart-data-follow.pptx 56896 25 191329 24 174945 38647
test-data/ooxml/pptx/smartart-dir.pptx 41593 25 130000 24 122832 20749
test-data/ooxml/pptx/smartart-font-size.pptx 63915 33 226224 32 204720 21504
test-data/ooxml/pptx/smartart-interopgrabbag.pptx 39440 26 136755 25 132299 20749
test-data/ooxml/pptx/smartart-linear-rule-vert.pptx 73085 28 186371 27 152782 33589
test-data/ooxml/pptx/smartart-linear-rule.pptx 43743 26 143469 25 137325 20749
test-data/ooxml/pptx/smartart-maxdepth.pptx 43256 25 130400 24 121184 20749
test-data/ooxml/pptx/smartart-missing-bullet.pptx 30139 20 116214 20 116214 20749
test-data/ooxml/pptx/smartart-multidirectional.pptx 43588 25 132007 24 122791 20749
test-data/ooxml/pptx/smartart-org-chart.pptx 57764 26 195578 25 179194 38647
test-data/ooxml/pptx/smartart-org-chart2.pptx 64524 25 213852 24 192348 47996
test-data/ooxml/pptx/smartart-picture-strip.pptx 52395 29 144060 25 129700 20749
test-data/ooxml/pptx/smartart-preserve.pptx 40598 26 137651 25 132213 20749
test-data/ooxml/pptx/smartart-pyramid-1child.pptx 40075 26 138145 25 134283 20749
test-data/ooxml/pptx/smartart-recursion.pptx 52943 25 188657 24 176369 38647
test-data/ooxml/pptx/smartart-rightoleftblockdiagram.pptx 43399 25 131473 24 122257 20749
test-data/ooxml/pptx/smartart-rotation.pptx 43886 25 129661 24 119421 20749
test-data/ooxml/pptx/smartart-rotation2.pptx 43658 27 155662 26 151369 20749
test-data/ooxml/pptx/smartart-simple.pptx 71102 27 197012 25 164994 36860
test-data/ooxml/pptx/smartart-snake-rows.pptx 52893 30 203162 29 199043 38234
test-data/ooxml/pptx/smartart-tdf134221.pptx 46706 26 171804 25 161564 29798
test-data/ooxml/pptx/smartart-text.pptx 38762 25 123425 24 118305 20749
test-data/ooxml/pptx/smartart-vertical-block-list.pptx 47533 25 140574 24 128286 20749
test-data/ooxml/pptx/smartart-vertical-box-list.pptx 43018 26 129698 25 122530 20749
test-data/ooxml/pptx/trigger.pptx 32278 21 79351 20 77181 13153
test-data/ooxml/xlsb/51519.xlsb 10897 12 16139 3 10185 8733
test-data/ooxml/xlsb/62815.xlsb 10665 8 39136 3 9026 22667
test-data/ooxml/xlsb/Simple.xlsb 9161 12 10806 3 9009 7261
test-data/ooxml/xlsb/bug66682.xlsb 9580 11 13561 3 9779 8390
test-data/ooxml/xlsb/comments.xlsb 10796 14 16734 4 13579 8733
test-data/ooxml/xlsb/cond_format.xlsb 8253 8 13129 4 10762 8390
test-data/ooxml/xlsb/date.xlsb 7566 7 11148 3 9806 8390
test-data/ooxml/xlsb/hyperlink.xlsb 7882 8 11341 3 9806 8390
test-data/ooxml/xlsb/pivot-cache-ac-prefixed.xlsb 11002 13 13532 3 4798 3189
test-data/ooxml/xlsb/sample.xlsb 10843 16 14669 6 10828 8733
test-data/ooxml/xlsb/universal-content.xlsb 11087 15 14842 6 12493 7079
test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx 654688 90 1020366 74 497105 59242
test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx 14979 15 37236 15 37236 8733
test-data/ooxml/xlsx/CustomXMLMappings.xlsx 9906 11 15341 11 15341 6997
test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx 9915 11 15344 11 15344 6997
test-data/ooxml/xlsx/DataValidationEvaluations.xlsx 13679 12 31760 12 31760 10392
test-data/ooxml/xlsx/DataValidationListTooLong.xlsx 3286 6 2678 6 2678 862
test-data/ooxml/xlsx/DateFormatNumberTests.xlsx 10981 9 22756 9 22756 7562
test-data/ooxml/xlsx/DateFormatTests.xlsx 12394 9 32903 9 32903 11994
test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx 19460 17 29482 17 29482 6784
test-data/ooxml/xlsx/ExcelTables.xlsx 9457 10 16711 10 16711 7000
test-data/ooxml/xlsx/FormatChoiceTests.xlsx 46589 10 74250 9 41114 33136
test-data/ooxml/xlsx/FormatConditionTests.xlsx 14577 9 53478 9 53478 33801
test-data/ooxml/xlsx/Formatting.xlsx 8847 9 14477 9 14477 6995
test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx 9543 9 15475 9 15475 7079
test-data/ooxml/xlsx/InlineString.xlsx 8401 7 14253 7 14253 8390
test-data/ooxml/xlsx/InlineStrings.xlsx 7843 8 14539 8 14539 4623
test-data/ooxml/xlsx/MatrixFormulaEvalTestData.xlsx 14875 9 50617 9 50617 29758
test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx 13378 9 48316 9 48316 23336
test-data/ooxml/xlsx/NewlineInFormulas.xlsx 8935 9 13693 9 13693 7079
test-data/ooxml/xlsx/Pivot1_Row.xlsx 12707 11 19485 11 19485 4863
test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx 12709 11 19541 11 19541 4863
test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx 12845 11 20318 11 20318 4863
test-data/ooxml/xlsx/Pivot2_Row.xlsx 12590 11 18928 11 18928 4863
test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx 12877 11 20092 11 20092 5125
test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx 12615 11 19045 11 19045 4863
