fixture parts total_bytes largest_bytes remainder_bytes
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/NumberedList.docx 15 437632 174382 263250
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/decimal-numbering-no-leveltext.docx 10 46830 15964 30866
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/listWithLgl.docx 3 5620 4631 989
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/lvlPicBulletId.docx 20 87656 21155 66501
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/mailmerge.docx 17 61207 29865 31342
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/strict.docx 19 133614 29862 103752
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/tdf124384.docx 18 229672 56345 173327
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/testGlossary.docx 19 101453 20126 81327
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlimport/data/numbering-circle.docx 7 10556 4261 6295
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf108545_embeddedDocxIcon.docx 16 57102 29865 27237
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf119039_bad_embedded_compound.docx 8 52467 31012 21455
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/extras/uiwriter/data/autotext-multiple.dotx 13 84151 29840 54311
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-header.docx 15 58161 24019 34142
/home/zhuhe/code/litchi-worktrees/0662/test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-html.docx 1 1384 1384 0
