# kind fixture detail eager lazy verdict
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx - 021ad659a782b7dd04cac6b056e897cbc87aecf61fda91a3f6ca37da36ac6b1d:12433 021ad659a782b7dd04cac6b056e897cbc87aecf61fda91a3f6ca37da36ac6b1d:12433 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx - 021ad659a782b7dd04cac6b056e897cbc87aecf61fda91a3f6ca37da36ac6b1d:12433 021ad659a782b7dd04cac6b056e897cbc87aecf61fda91a3f6ca37da36ac6b1d:12433 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx - 9 9 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx - 98a94083b29c8b3d03c3eead5709b64532df60c2a18b164f7431c8f165f75859:8367 98a94083b29c8b3d03c3eead5709b64532df60c2a18b164f7431c8f165f75859:8367 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx - 98a94083b29c8b3d03c3eead5709b64532df60c2a18b164f7431c8f165f75859:8367 98a94083b29c8b3d03c3eead5709b64532df60c2a18b164f7431c8f165f75859:8367 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx - 12 12 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx - bf7a53b6cd5aeced5bfb3241cf802a23759210c10447aeb62a9ab075cdb258e3:11268 bf7a53b6cd5aeced5bfb3241cf802a23759210c10447aeb62a9ab075cdb258e3:11268 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx - bf7a53b6cd5aeced5bfb3241cf802a23759210c10447aeb62a9ab075cdb258e3:11268 bf7a53b6cd5aeced5bfb3241cf802a23759210c10447aeb62a9ab075cdb258e3:11268 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx - 9 9 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx - d7ab3dbb59388d245ee779bf8547748dc6bac70f3c7216e673e0d97dbbbd6bc4:8435 d7ab3dbb59388d245ee779bf8547748dc6bac70f3c7216e673e0d97dbbbd6bc4:8435 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx - d7ab3dbb59388d245ee779bf8547748dc6bac70f3c7216e673e0d97dbbbd6bc4:8435 d7ab3dbb59388d245ee779bf8547748dc6bac70f3c7216e673e0d97dbbbd6bc4:8435 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx - 9 9 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx - 2a8151eb9653172e350c214c755f820b6d9670b155f9593d41c1b258655bcd44:8483 2a8151eb9653172e350c214c755f820b6d9670b155f9593d41c1b258655bcd44:8483 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx - 2a8151eb9653172e350c214c755f820b6d9670b155f9593d41c1b258655bcd44:8483 2a8151eb9653172e350c214c755f820b6d9670b155f9593d41c1b258655bcd44:8483 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx - 9 9 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx - df95da8e166e2aa039dc83eabd4906a329d6f71ce4ec7e1e44e941702fa78d87:5479 df95da8e166e2aa039dc83eabd4906a329d6f71ce4ec7e1e44e941702fa78d87:5479 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx - df95da8e166e2aa039dc83eabd4906a329d6f71ce4ec7e1e44e941702fa78d87:5479 df95da8e166e2aa039dc83eabd4906a329d6f71ce4ec7e1e44e941702fa78d87:5479 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx - 12 12 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx - 80cd967dad7b889a5b6d0f07ed38961a19aafe8f6c4442fae3277cae264c6c26:9172 80cd967dad7b889a5b6d0f07ed38961a19aafe8f6c4442fae3277cae264c6c26:9172 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx - 80cd967dad7b889a5b6d0f07ed38961a19aafe8f6c4442fae3277cae264c6c26:9172 80cd967dad7b889a5b6d0f07ed38961a19aafe8f6c4442fae3277cae264c6c26:9172 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx - 10 10 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx - a1252dc9e87a593026d4bac29b26b2eca6d88129d903ee6bd24293f07b0aee19:7730 a1252dc9e87a593026d4bac29b26b2eca6d88129d903ee6bd24293f07b0aee19:7730 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx - a1252dc9e87a593026d4bac29b26b2eca6d88129d903ee6bd24293f07b0aee19:7730 a1252dc9e87a593026d4bac29b26b2eca6d88129d903ee6bd24293f07b0aee19:7730 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx - 13 13 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx - a7d58ac6d867f570c63cb104cdca1c601bdb40f87250232552ad78946adfe765:16883 a7d58ac6d867f570c63cb104cdca1c601bdb40f87250232552ad78946adfe765:16883 MATCH
