# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
ooxml/pptx/smartart-cycle.pptx opc-noop 24 131387 0 0 published:35322
ooxml/pptx/smartart-data-follow.pptx opc-noop 25 191329 0 0 published:56896
ooxml/pptx/smartart-dir.pptx opc-noop 25 130000 0 0 published:41593
ooxml/pptx/smartart-font-size.pptx opc-noop 33 226224 0 0 published:63915
ooxml/pptx/smartart-interopgrabbag.pptx opc-noop 26 136755 0 0 published:39440
ooxml/pptx/smartart-linear-rule-vert.pptx opc-noop 28 186371 0 0 published:73085
ooxml/pptx/smartart-linear-rule.pptx opc-noop 26 143469 0 0 published:43743
ooxml/pptx/smartart-maxdepth.pptx opc-noop 25 130400 0 0 published:43256
ooxml/pptx/smartart-missing-bullet.pptx opc-noop 20 116214 0 0 published:30139
ooxml/pptx/smartart-multidirectional.pptx opc-noop 25 132007 0 0 published:43588
ooxml/pptx/smartart-org-chart.pptx opc-noop 26 195578 0 0 published:57764
ooxml/pptx/smartart-org-chart2.pptx opc-noop 25 213852 0 0 published:64524
ooxml/pptx/smartart-picture-strip.pptx opc-noop 29 144060 0 0 published:52395
ooxml/pptx/smartart-preserve.pptx opc-noop 26 137651 0 0 published:40598
ooxml/pptx/smartart-pyramid-1child.pptx opc-noop 26 138145 0 0 published:40075
ooxml/pptx/smartart-recursion.pptx opc-noop 25 188657 0 0 published:52943
ooxml/pptx/smartart-rightoleftblockdiagram.pptx opc-noop 25 131473 0 0 published:43399
ooxml/pptx/smartart-rotation.pptx opc-noop 25 129661 0 0 published:43886
ooxml/pptx/smartart-rotation2.pptx opc-noop 27 155662 0 0 published:43658
ooxml/pptx/smartart-simple.pptx opc-noop 27 197012 0 0 published:71102
ooxml/pptx/smartart-snake-rows.pptx opc-noop 30 203162 0 0 published:52893
ooxml/pptx/smartart-tdf134221.pptx opc-noop 26 171804 0 0 published:46706
ooxml/pptx/smartart-text.pptx opc-noop 25 123425 0 0 published:38762
ooxml/pptx/smartart-vertical-block-list.pptx opc-noop 25 140574 0 0 published:47533
ooxml/pptx/smartart-vertical-box-list.pptx opc-noop 26 129698 0 0 published:43018
ooxml/pptx/trigger.pptx opc-noop 21 79351 0 0 published:32278
ooxml/xlsb/51519.xlsb opc-noop 12 16139 0 0 published:10897
ooxml/xlsb/62815.xlsb opc-noop 8 39136 0 0 published:10665
ooxml/xlsb/Simple.xlsb opc-noop 12 10806 0 0 published:9161
ooxml/xlsb/bug66682.xlsb opc-noop 11 13561 0 0 published:9580
ooxml/xlsb/comments.xlsb opc-noop 14 16734 0 0 published:10796
ooxml/xlsb/cond_format.xlsb opc-noop 8 13129 0 0 published:8253
ooxml/xlsb/date.xlsb opc-noop 7 11148 0 0 published:7566
ooxml/xlsb/hyperlink.xlsb opc-noop 8 11341 0 0 published:7882
ooxml/xlsb/pivot-cache-ac-prefixed.xlsb opc-noop 13 13532 0 0 published:11002
ooxml/xlsb/sample.xlsb opc-noop 16 14669 0 0 published:10843
ooxml/xlsb/universal-content.xlsb opc-noop 15 14842 0 0 published:11087
ooxml/xlsx/ConditionalFormattingSamples.xlsx opc-noop 90 1020366 0 0 published:654688
ooxml/xlsx/CustomXMLMappings-complex-type.xlsx opc-noop 15 37236 0 0 published:14979
ooxml/xlsx/CustomXMLMappings.xlsx opc-noop 11 15341 0 0 published:9906
ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx opc-noop 11 15344 0 0 published:9915
ooxml/xlsx/DataValidationEvaluations.xlsx opc-noop 12 31760 0 0 published:13679
ooxml/xlsx/DataValidationListTooLong.xlsx opc-noop 6 2678 0 0 published:3286
ooxml/xlsx/DateFormatNumberTests.xlsx opc-noop 9 22756 0 0 published:10981
ooxml/xlsx/DateFormatTests.xlsx opc-noop 9 32903 0 0 published:12394
ooxml/xlsx/ExcelPivotTableSample.xlsx opc-noop 17 29482 0 0 published:19460
ooxml/xlsx/ExcelTables.xlsx opc-noop 10 16711 0 0 published:9457
ooxml/xlsx/FormatChoiceTests.xlsx opc-noop 10 74250 0 0 published:46589
ooxml/xlsx/FormatConditionTests.xlsx opc-noop 9 53478 0 0 published:14577
ooxml/xlsx/Formatting.xlsx opc-noop 9 14477 0 0 published:8847
ooxml/xlsx/HeaderFooterComplexFormats.xlsx opc-noop 9 15475 0 0 published:9543
ooxml/xlsx/InlineString.xlsx opc-noop 7 14253 0 0 published:8401
ooxml/xlsx/InlineStrings.xlsx opc-noop 8 14539 0 0 published:7843
ooxml/xlsx/MatrixFormulaEvalTestData.xlsx opc-noop 9 50617 0 0 published:14875
ooxml/xlsx/NewStyleConditionalFormattings.xlsx opc-noop 9 48316 0 0 published:13378
ooxml/xlsx/NewlineInFormulas.xlsx opc-noop 9 13693 0 0 published:8935
ooxml/xlsx/Pivot1_Row.xlsx opc-noop 11 19485 0 0 published:12707
ooxml/xlsx/Pivot1_Row_Grand.xlsx opc-noop 11 19541 0 0 published:12709
ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx opc-noop 11 20318 0 0 published:12845
ooxml/xlsx/Pivot2_Row.xlsx opc-noop 11 18928 0 0 published:12590
ooxml/xlsx/Pivot2_Row_Compact.xlsx opc-noop 11 20092 0 0 published:12877
ooxml/xlsx/Pivot2_Row_Grand.xlsx opc-noop 11 19045 0 0 published:12615
ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx opc-noop 11 19470 0 0 published:12670
ooxml/xlsx/Pivot2_Row_Subtotals.xlsx opc-noop 11 19352 0 0 published:12656
ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx opc-noop 11 19409 0 0 published:12677
ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx opc-noop 11 19703 0 0 published:12716
ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx opc-noop 11 19723 0 0 published:12734
ooxml/xlsx/SimpleMultiCell.xlsx opc-noop 8 12002 0 0 published:8123
ooxml/xlsx/SimpleNormal.xlsx opc-noop 9 13413 0 0 published:8871
ooxml/xlsx/SimpleScatterChart.xlsx opc-noop 16 49029 0 0 published:18278
ooxml/xlsx/SimpleStrict.xlsx opc-noop 9 14186 0 0 published:9225
ooxml/xlsx/SimpleWithComments.xlsx opc-noop 11 15719 0 0 published:10060
ooxml/xlsx/SingleCellTable.xlsx opc-noop 8 15481 0 0 published:9486
ooxml/xlsx/Sparklines.xlsx opc-noop 8 30630 0 0 published:13356
ooxml/xlsx/StructuredReferences.xlsx opc-noop 10 17308 0 0 published:10459
ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx opc-noop 25 2684014 0 0 published:325446
ooxml/xlsx/Tables.xlsx opc-noop 31 215074 0 0 published:54387
ooxml/xlsx/TablesWithDifferentHeaders.xlsx opc-noop 12 15228 0 0 published:11359
ooxml/xlsx/TextColor.xlsx opc-noop 10 13587 0 0 published:9531
ooxml/xlsx/TwoSheetsNoneHidden.xlsx opc-noop 8 11384 0 0 published:7938
ooxml/xlsx/TwoSheetsOneHidden.xlsx opc-noop 8 11428 0 0 published:7962
ooxml/xlsx/autofilter-colors-fg.xlsx opc-noop 9 26629 0 0 published:10750
ooxml/xlsx/autofilter-colors.xlsx opc-noop 9 26576 0 0 published:10708
ooxml/xlsx/autofilter.xlsx opc-noop 7 17480 0 0 published:6299
ooxml/xlsx/autofilternamedrange.xlsx opc-noop 8 16589 0 0 published:9685
ooxml/xlsx/cell-borders.xlsx opc-noop 13 28227 0 0 published:20972
ooxml/xlsx/cell-multi-line.xlsx opc-noop 8 20417 0 0 published:9144
ooxml/xlsx/chart_hyperlink.xlsx opc-noop 17 68912 0 0 published:21564
ooxml/xlsx/column_style.xlsx opc-noop 5 10364 0 0 published:4646
ooxml/xlsx/condFormat_cellis.xlsx opc-noop 8 18545 0 0 published:9347
ooxml/xlsx/condformat_databar.xlsx opc-noop 6 12560 0 0 published:8052
ooxml/xlsx/condformat_theme_color.xlsx opc-noop 7 14530 0 0 published:8937
ooxml/xlsx/conditional_fmt_checkpriority.xlsx opc-noop 9 23032 0 0 published:10682
ooxml/xlsx/conditional_fmt_origin.xlsx opc-noop 8 20472 0 0 published:9705
ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx opc-noop 8 18319 0 0 published:9487
ooxml/xlsx/customxml.xlsx opc-noop 13 40009 0 0 published:13282
ooxml/xlsx/decimal-format.xlsx opc-noop 9 31947 0 0 published:9677
ooxml/xlsx/duplicate-defined-names.xlsx opc-noop 8 103087 0 0 published:18756
ooxml/xlsx/empty.xlsx opc-noop 6 10155 0 0 published:5221
ooxml/xlsx/enhanced-protection.xlsx opc-noop 7 13157 0 0 published:8483
ooxml/xlsx/external-cache-multi-letter-column.xlsx opc-noop 28 143358 0 0 published:44267
ooxml/xlsx/external-link-path-missing.xlsx opc-noop 12 34945 0 0 published:15018
ooxml/xlsx/external-link-path-startup.xlsx opc-noop 9 23910 0 0 published:11076
ooxml/xlsx/fontSize.xlsx opc-noop 10 14184 0 0 published:9883
ooxml/xlsx/formats.xlsx opc-noop 9 32724 0 0 published:9295
ooxml/xlsx/headerFooterTest.xlsx opc-noop 8 31794 0 0 published:27484
ooxml/xlsx/hyperlink.xlsx opc-noop 8 14025 0 0 published:9833
ooxml/xlsx/hyperlink_export.xlsx opc-noop 7 15113 0 0 published:9100
ooxml/xlsx/hyperlink_formula.xlsx opc-noop 8 15476 0 0 published:9472
ooxml/xlsx/hyperlinks.xlsx opc-noop 9 13040 0 0 published:9068
ooxml/xlsx/named-ranges-global.xlsx opc-noop 6 13071 0 0 published:5664
ooxml/xlsx/named-ranges-hidden.xlsx opc-noop 7 15646 0 0 published:8959
ooxml/xlsx/noSharedStringTable.xlsx opc-noop 6 11922 0 0 published:7820
ooxml/xlsx/sample.xlsx opc-noop 13 23094 0 0 published:12348
ooxml/xlsx/shared-strings-malformed-count.xlsx opc-noop 6 9710 0 0 published:6266
ooxml/xlsx/shared_formulas.xlsx opc-noop 9 22061 0 0 published:10137
ooxml/xlsx/sharedhyperlink.xlsx opc-noop 7 13891 0 0 published:9080
ooxml/xlsx/sheet-names.xlsx opc-noop 10 13749 0 0 published:9425
ooxml/xlsx/sheet-state-show.xlsx opc-noop 8 165918 0 0 published:26753
ooxml/xlsx/sheet-tab-color.xlsx opc-noop 9 12012 0 0 published:8408
ooxml/xlsx/sheetProtection_allLocked.xlsx opc-noop 8 11361 0 0 published:7871
ooxml/xlsx/sheetProtection_not_protected.xlsx opc-noop 8 32868 0 0 published:28728
ooxml/xlsx/sortconditionref.xlsx opc-noop 7 14599 0 0 published:8993
ooxml/xlsx/sortconditionref2.xlsx opc-noop 11 78707 0 0 published:14816
ooxml/xlsx/style-alternate-content.xlsx opc-noop 7 49209 0 0 published:10103
ooxml/xlsx/styles.xlsx opc-noop 9 16190 0 0 published:9309
ooxml/xlsx/table-sample.xlsx opc-noop 9 17774 0 0 published:10595
ooxml/xlsx/tableStyle.xlsx opc-noop 10 21982 0 0 published:10899
ooxml/xlsx/test_conditional_formatting.xlsx opc-noop 9 18116 0 0 published:10203
ooxml/xlsx/universal-content.xlsx opc-noop 9 12730 0 0 published:7296
poi/test-data/document/61745.docx opc-noop 16 98750 0 0 published:37030
poi/test-data/document/Bug54849.docx opc-noop 21 110027 0 0 published:27566
poi/test-data/document/ComplexNumberedLists.docx opc-noop 10 62145 0 0 published:14458
poi/test-data/document/EmbeddedDocument.docx opc-noop 10 49867 0 0 published:13268
poi/test-data/document/Numbering.docx opc-noop 9 61626 0 0 published:13808
poi/test-data/document/NumberingWOverrides.docx opc-noop 9 141245 0 0 published:15190
poi/test-data/document/NumberingWithOutOfOrderId.docx opc-noop 9 52125 0 0 published:12978
poi/test-data/document/heading123.docx opc-noop 9 90532 0 0 published:74810
poi/test-data/document/saut_page.docx opc-noop 26 5359641 0 0 published:2959626
poi/test-data/document/testComment.docx opc-noop 13 111088 0 0 published:65298
poi/test-data/integration/test_recursive_embedded.docx opc-noop 18 76737 0 0 published:27082
poi/test-data/openxml4j/50154.xlsx opc-noop 15 22252 0 0 published:13583
poi/test-data/openxml4j/OPCCompliance_CoreProperties_AlternateTimezones.docx opc-noop 9 36732 0 0 published:13159
poi/test-data/openxml4j/OPCCompliance_CoreProperties_DCTermsNamespaceLimitedUseFAIL.docx opc-noop 8 27566 0 0 published:9788
poi/test-data/openxml4j/OPCCompliance_CoreProperties_DoNotUseCompatibilityMarkupFAIL.docx opc-noop 8 27594 0 0 published:9801
poi/test-data/openxml4j/OPCCompliance_CoreProperties_LimitedXSITypeAttribute_NotPresentFAIL.docx opc-noop 8 27530 0 0 published:9786
poi/test-data/openxml4j/OPCCompliance_CoreProperties_LimitedXSITypeAttribute_PresentWithUnauthorizedValueFAIL.docx opc-noop 8 27548 0 0 published:9787
poi/test-data/openxml4j/OPCCompliance_CoreProperties_OnlyOneCorePropertiesPartFAIL.docx opc-noop - - - - open-refused:MultipleCorePropertiesRelationships
poi/test-data/openxml4j/OPCCompliance_CoreProperties_SUCCESS.docx opc-noop 8 27522 0 0 published:10058
poi/test-data/openxml4j/OPCCompliance_CoreProperties_UnauthorizedXMLLangAttributeFAIL.docx opc-noop 8 27619 0 0 published:9814
poi/test-data/openxml4j/OPCCompliance_DerivedPartNameFAIL.docx opc-noop - - - - open-refused:DerivedPartNames { existing: "/word/document.xml", candidate: "/word/document.xml/image1.gif" }
poi/test-data/openxml4j/OPCCompliance_NoCoreProperties.xlsx opc-noop 12 19562 0 0 published:11483
poi/test-data/slideshow/45545_Comment.pptx opc-noop 58 907994 0 0 published:308394
poi/test-data/slideshow/ArtisticEffectSample.pptx opc-noop 37 1312710 0 0 published:972788
poi/test-data/slideshow/EmbeddedAudio.pptx opc-noop 23 143755 0 0 published:90047
poi/test-data/slideshow/EmbeddedVideo.pptx opc-noop 23 255786 0 0 published:201418
poi/test-data/slideshow/bug62513.pptx opc-noop 75 620797 0 0 published:384775
poi/test-data/slideshow/bug65551.pptx opc-noop 27 121382 0 0 published:34383
poi/test-data/slideshow/placeholder-layout-color.pptx opc-noop 20 395876 0 0 published:346876
poi/test-data/slideshow/prProps.pptx opc-noop 17 80017 0 0 published:30976
poi/test-data/spreadsheet/45540_classic_Header.xlsx opc-noop 25 149783 0 0 published:40213
poi/test-data/spreadsheet/45540_form_Footer.xlsx opc-noop 54 129937 0 0 published:57465
poi/test-data/spreadsheet/45540_form_Header.xlsx opc-noop 54 129937 0 0 published:57471
poi/test-data/spreadsheet/47889.xlsx opc-noop 5 4045 0 0 published:3555
poi/test-data/spreadsheet/48962.xlsx opc-noop 8 66684 0 0 published:50260
poi/test-data/spreadsheet/49609.xlsx opc-noop 5 546807 0 0 published:105424
poi/test-data/spreadsheet/54071.xlsx opc-noop 8 15087 0 0 published:9150
poi/test-data/spreadsheet/56169.xlsx opc-noop 11 15961 0 0 published:10345
poi/test-data/spreadsheet/58106.xlsx opc-noop 9 15560 0 0 published:9111
poi/test-data/spreadsheet/60289.xlsx opc-noop 7 15907 0 0 published:8570
poi/test-data/spreadsheet/61060-conditional-number-formatting.xlsx opc-noop 6 15138 0 0 published:8224
poi/test-data/spreadsheet/62815.xlsb opc-noop 8 39136 0 0 published:10665
poi/test-data/spreadsheet/62834.xlsx opc-noop 9 15277 0 0 published:9629
poi/test-data/spreadsheet/66365.xlsx opc-noop 6 7961 0 0 published:4753
poi/test-data/spreadsheet/AmpersandHeader.xlsx opc-noop 9 15334 0 0 published:9480
poi/test-data/spreadsheet/ConditionalFormattingSamples.xlsx opc-noop 90 1020366 0 0 published:654688
poi/test-data/spreadsheet/CustomXMLMappings.xlsx opc-noop 11 15341 0 0 published:9906
