# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
ooxml/pptx/smartart-cycle.pptx opc-reblob 24 131387 1 1090 published:35322
ooxml/pptx/smartart-data-follow.pptx opc-reblob 25 191329 1 1117 published:56896
ooxml/pptx/smartart-dir.pptx opc-reblob 25 130000 1 1118 published:41593
ooxml/pptx/smartart-font-size.pptx opc-reblob 33 226224 1 1117 published:63915
ooxml/pptx/smartart-interopgrabbag.pptx opc-reblob 26 136755 1 1299 published:39440
ooxml/pptx/smartart-linear-rule-vert.pptx opc-reblob 28 186371 1 1333 published:73085
ooxml/pptx/smartart-linear-rule.pptx opc-reblob 26 143469 1 1125 published:43743
ooxml/pptx/smartart-maxdepth.pptx opc-reblob 25 130400 1 1118 published:43256
ooxml/pptx/smartart-missing-bullet.pptx opc-reblob 20 116214 1 1173 published:30139
ooxml/pptx/smartart-multidirectional.pptx opc-reblob 25 132007 1 1089 published:43588
ooxml/pptx/smartart-org-chart.pptx opc-reblob 26 195578 1 1124 published:57764
ooxml/pptx/smartart-org-chart2.pptx opc-reblob 25 213852 1 1117 published:64524
ooxml/pptx/smartart-picture-strip.pptx opc-reblob 29 144060 1 1125 published:52395
ooxml/pptx/smartart-preserve.pptx opc-reblob 26 137651 1 1300 published:40598
ooxml/pptx/smartart-pyramid-1child.pptx opc-reblob 26 138145 1 1280 published:40075
ooxml/pptx/smartart-recursion.pptx opc-reblob 25 188657 1 1117 published:52943
ooxml/pptx/smartart-rightoleftblockdiagram.pptx opc-reblob 25 131473 1 1090 published:43399
ooxml/pptx/smartart-rotation.pptx opc-reblob 25 129661 1 1117 published:43886
ooxml/pptx/smartart-rotation2.pptx opc-reblob 27 155662 1 1309 published:43658
ooxml/pptx/smartart-simple.pptx opc-reblob 27 197012 1 1335 published:71102
ooxml/pptx/smartart-snake-rows.pptx opc-reblob 30 203162 1 1282 published:52893
ooxml/pptx/smartart-tdf134221.pptx opc-reblob 26 171804 1 1107 published:46706
ooxml/pptx/smartart-text.pptx opc-reblob 25 123425 1 1117 published:38762
ooxml/pptx/smartart-vertical-block-list.pptx opc-reblob 25 140574 1 1117 published:47533
ooxml/pptx/smartart-vertical-box-list.pptx opc-reblob 26 129698 1 1124 published:43018
